DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RHOB_D,RESD_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
7067.5,0.042,100.77,0.156,3.03,0.114,2.636,7.93,70.48,0.2409,0.1355,0.1272,0.1338,0.1318,0.1584,0.0119,0.0124,0.0088,0.0066,0.0073,0.0083,0.008250314742326736
7068.0,0.04,105.37,0.171,2.97,0.124,2.639,7.5,71.55,0.3317,0.1348,0.1312,0.1257,0.1245,0.1585,0.0145,0.0141,0.0093,0.007,0.0071,0.0089,0.012611362151801586
7068.5,0.035,109.69,0.179,2.91,0.129,2.644,7.43,71.72,0.5089,0.1462,0.1371,0.1188,0.1201,0.1543,0.0184,0.0183,0.0119,0.0081,0.0079,0.0099,0.014214057475328445
7069.0,0.038,114.54,0.19,2.87,0.137,2.64,7.64,72.46,0.6151,0.1544,0.1451,0.1255,0.116,0.1563,0.0235,0.0232,0.0123,0.0096,0.0074,0.0097,0.017419960349798203
7069.5,0.044,120.41,0.201,2.86,0.146,2.631,7.99,73.62,0.6417,0.1746,0.1648,0.1488,0.1172,0.1649,0.0301,0.0298,0.012,0.0128,0.0071,0.0094,0.021800091490149498
7070.0,0.052,126.22,0.212,2.85,0.155,2.622,8.36,74.88,0.6076,0.1785,0.1679,0.1736,0.113,0.1682,0.0342,0.0311,0.0099,0.0144,0.0055,0.0073,0.025968804955482483
7070.5,0.057,130.45,0.206,2.88,0.151,2.614,8.97,74.86,0.5371,0.2154,0.1859,0.2208,0.1354,0.1921,0.0379,0.036,0.0104,0.0181,0.0064,0.0083,0.026090145111083984
7071.0,0.053,130.18,0.195,2.98,0.143,2.616,9.58,74.16,0.4465,0.2547,0.1908,0.2378,0.1527,0.2034,0.0349,0.0377,0.0107,0.0219,0.0087,0.0114,0.021017851307988167
7071.5,0.047,127.74,0.178,3.1,0.13,2.628,10.01,72.88,0.2859,0.2,0.1417,0.1865,0.1371,0.178,0.0194,0.0219,0.0067,0.0143,0.0072,0.0096,0.014450068585574627
7072.0,0.038,117.91,0.148,3.32,0.108,2.643,10.3,70.42,0.1325,0.1569,0.1051,0.1342,0.1196,0.1415,0.0068,0.0093,0.0041,0.0076,0.0063,0.0072,0.006484123412519693
7072.5,0.028,102.77,0.149,3.62,0.107,2.662,10.09,69.96,0.0953,0.1366,0.0825,0.1009,0.0958,0.117,0.0034,0.0044,0.002,0.0049,0.0046,0.0059,0.00710825901478529
7073.0,0.016,85.82,0.157,3.83,0.112,2.682,9.51,69.77,0.1065,0.1125,0.0777,0.077,0.0806,0.101,0.0033,0.0029,0.0015,0.0036,0.0037,0.0052,0.006857746280729771
7073.5,0.005,70.74,0.168,3.76,0.0,2.698,8.88,69.53,0.2799,0.1118,0.2153,0.1348,0.1618,0.2816,0.0143,0.0504,0.0228,0.0358,0.0153,0.0068,
