DEPT,DPHI_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,DTC_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
2993.5,0.27,143.89,0.428,3.34,0.0,2.6,2.249,123.15,454.8258,1754.9209,326.0522,42.0763,26.7444,234.6408,0.052,0.8508,2.5678,0.0038,0.0872,0.2764,
2994.0,0.27,149.05,0.407,3.4,0.345,2.7,2.248,120.36,413.2582,297.2853,1653.6125,1274.731,408.1044,414.1975,3.666,0.6487,1.7574,0.1363,0.4778,0.5098,8.084222793579102
2994.5,0.269,151.63,0.391,3.47,0.335,2.75,2.25,118.12,609.5557,563.6887,1999.5444,1180.8236,445.977,415.7498,3.5141,0.874,1.9539,0.2239,0.6279,0.4841,6.156970500946045
2995.0,0.268,150.77,0.388,3.58,0.334,2.75,2.251,117.93,875.4029,808.0404,2780.681,1184.6435,440.3124,414.3196,5.6538,1.3995,2.8605,0.2599,0.6941,0.5246,6.216094970703125
2995.5,0.267,145.62,0.405,3.67,0.343,2.67,2.252,120.61,896.8493,597.1003,3583.1883,1298.4742,364.7405,390.6541,16.3905,2.4412,5.0186,0.1902,0.6252,0.5714,8.643553733825684
2996.0,0.268,137.91,0.419,3.65,0.0,2.55,2.252,122.74,1323.6512,8983.9856,394.2178,29.8783,21.7882,232.505,0.1089,2.8058,9.4099,0.0039,0.0802,0.2659,
2996.5,0.27,131.7,0.428,3.56,0.0,2.45,2.249,123.91,1070.6127,5499.6137,389.7073,37.6368,25.1863,234.6408,0.1227,2.2116,7.6549,0.0038,0.0775,0.2764,
2997.0,0.274,129.99,0.429,3.49,0.0,2.43,2.241,123.85,950.2244,4490.2285,392.3809,45.2936,31.4378,284.8536,0.1177,1.7348,6.061,0.0044,0.0874,0.2948,
2997.5,0.281,129.79,0.428,3.47,0.0,2.38,2.231,123.69,919.4844,4460.9429,341.782,49.5716,38.7485,355.2602,0.1274,1.6639,5.6567,0.0051,0.0903,0.2726,
2998.0,0.288,129.15,0.426,3.48,0.0,2.34,2.22,123.36,958.572,5092.4748,302.1262,54.8454,48.9169,451.9696,0.1466,1.7635,5.9245,0.0063,0.0995,0.2631,
2998.5,0.292,129.16,0.42,3.5,0.0,2.36,2.212,122.44,1044.4564,6332.5223,296.752,58.133,57.9042,553.339,0.1514,1.8629,6.0989,0.008,0.1223,0.2733,
2999.0,0.291,131.96,0.419,3.5,0.0,2.45,2.212,122.18,1130.0093,7194.7777,322.4479,61.565,58.8373,566.7008,0.1259,1.8585,6.1205,0.0077,0.1328,0.2913,
2999.5,0.284,136.88,0.428,3.43,0.0,2.54,2.222,123.41,983.523,5299.5127,391.977,68.1624,50.5347,448.1154,0.0857,1.481,5.2335,0.0052,0.1156,0.3246,
3000.0,0.275,140.95,0.441,3.36,0.0,2.71,2.238,124.68,701.9685,2989.4375,413.3847,77.0907,39.538,287.1775,0.052,1.1515,3.9587,0.003,0.097,0.3366,
3000.5,0.266,143.73,0.432,3.37,0.0,2.73,2.252,123.43,562.0172,2403.8733,399.4756,49.7536,26.8638,218.6241,0.046,0.9984,3.279,0.0032,0.0969,0.3324,
3001.0,0.266,146.09,0.426,3.44,0.0,2.71,2.255,123.07,665.9034,3214.8491,373.0013,37.6457,22.5821,206.6847,0.0513,1.2738,4.0492,0.0032,0.0838,0.2808,
3001.5,0.272,151.44,0.419,3.57,0.0,2.63,2.247,122.69,1009.2213,6425.4423,353.3999,33.0301,24.2479,258.5566,0.0632,2.0328,6.5029,0.0036,0.0796,0.2483,
