DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR,K_SDR_PRE
4137.0,0.13,82.31,66.11,0.174,2.5,0.153,6.49,2.487,2.9438,1.5171,1.8371,1.5585,1.1773,1.8658,0.28,0.1989,0.1056,0.1098,0.0342,0.0504,0.141010159,0.26826536655426025
4137.5,0.119,81.72,72.06,0.17,2.58,0.147,7.92,2.506,2.3005,1.1928,1.1934,1.1524,0.7446,1.218,0.2441,0.1614,0.06,0.0961,0.0225,0.0344,0.176447164,0.09050079435110092
4138.0,0.117,80.61,73.96,0.173,2.6,0.148,8.18,2.509,2.2227,1.2567,1.1385,1.26,0.792,1.154,0.2439,0.1679,0.0601,0.1035,0.0241,0.034,0.301949627,0.08663002401590347
4138.5,0.114,79.09,76.25,0.166,2.65,0.142,9.1,2.515,1.9781,1.1825,0.9569,1.1838,0.744,0.987,0.2241,0.1652,0.051,0.1065,0.0227,0.0281,0.717187272,0.04592656344175339
4139.0,0.112,77.95,78.9,0.173,2.72,0.146,10.2,2.518,2.0956,1.4685,0.8503,1.5426,0.8554,0.9832,0.2502,0.1929,0.0472,0.1508,0.027,0.0303,1.463651921,0.0380822978913784
4139.5,0.118,76.4,75.05,0.181,2.77,0.153,11.84,2.509,3.2253,2.4234,0.952,2.9191,1.3918,1.2119,0.3941,0.322,0.0595,0.3279,0.0442,0.0385,1.89416066,0.04923584312200546
4140.0,0.134,75.65,68.56,0.185,2.73,0.162,13.35,2.481,7.0231,5.0717,1.5797,7.9861,3.5703,2.2382,0.847,0.7499,0.1133,1.0512,0.1052,0.068,1.234981225,0.12404339015483856
4140.5,0.148,75.49,62.25,0.182,2.65,0.166,15.32,2.457,13.1352,8.5835,2.7103,15.9375,7.3008,3.9007,1.8141,1.6152,0.2064,2.6753,0.1949,0.1106,0.738112146,0.34528490900993347
4141.0,0.15,77.28,64.97,0.187,2.64,0.17,13.08,2.453,12.6331,8.4633,2.7291,15.4883,7.0276,4.3893,1.5085,1.4239,0.216,2.3585,0.2049,0.1337,1.015559178,0.30137449502944946
4141.5,0.134,78.52,69.45,0.2,2.7,0.17,13.49,2.48,8.5753,6.0428,1.5851,8.5835,2.9652,2.3543,1.1482,0.8379,0.1195,1.2941,0.0993,0.0811,1.873774616,0.1496281921863556
4142.0,0.127,77.49,77.87,0.216,2.8,0.177,15.53,2.493,7.1199,6.2427,1.1793,9.0382,2.4098,1.6954,1.1089,0.8487,0.0979,1.6003,0.098,0.0637,2.638509201,0.04931594058871269
4142.5,0.132,76.88,76.79,0.225,2.84,0.185,13.92,2.484,8.2532,6.8813,1.3053,12.9988,3.6192,2.058,1.07,0.9813,0.1261,2.0816,0.1656,0.0793,1.551010827,0.052543073892593384
4143.0,0.145,76.5,70.81,0.213,2.81,0.182,10.71,2.463,10.1436,7.2449,1.9068,17.4805,7.2671,3.555,0.8793,0.9532,0.1747,1.9272,0.2899,0.134,0.661000269,0.08504714071750641
4143.5,0.14,77.22,67.79,0.207,2.81,0.177,10.82,2.47,9.2056,6.0155,1.572,11.9288,4.9875,2.9707,0.794,0.7035,0.1258,1.3246,0.1815,0.1073,0.506299155,0.11535317450761795
