DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3129.5,8.19,0.273,101.92,179.29,0.308,4.66,0.291,3.27,1.353,2.242,93.83,4.106773853302002,0.02641867846250534
3130.0,8.22,0.272,101.61,170.22,0.332,4.56,0.303,3.11,1.356,2.244,94.22,4.030709743499756,0.028577346354722977
3130.5,8.21,0.268,101.38,181.18,0.312,4.46,0.291,3.47,1.41,2.252,94.3,2.622281312942505,0.028776725754141808
3131.0,8.19,0.262,101.31,183.45,0.288,4.36,0.275,4.01,1.469,2.261,94.04,1.5495909452438354,0.03053206019103527
3131.5,8.19,0.26,100.85,170.22,0.296,4.29,0.279,3.67,1.383,2.265,94.06,1.6241390705108643,0.03040049597620964
3132.0,8.24,0.259,101.34,158.88,0.301,4.28,0.281,3.35,1.31,2.266,93.94,1.6787673234939575,0.03072141483426094
3132.5,8.25,0.265,102.41,154.72,0.314,4.28,0.291,3.42,1.317,2.257,93.75,1.5542316436767578,0.030637001618742943
3133.0,8.26,0.27,103.01,191.01,0.362,4.28,0.319,3.79,1.351,2.248,93.75,2.611774444580078,0.03039516694843769
3133.5,8.23,0.276,103.72,191.01,0.351,4.28,0.316,4.17,1.335,2.238,93.05,1.7550437450408936,0.03016076423227787
3134.0,8.23,0.282,103.58,167.57,0.311,4.28,0.297,3.14,1.192,2.228,92.5,1.433883547782898,0.03040645457804203
3134.5,8.27,0.281,102.38,125.99,0.32,4.28,0.301,2.62,1.088,2.229,91.91,1.647181510925293,0.029763124883174896
3135.0,8.24,0.278,101.18,123.53,0.296,4.28,0.287,2.47,1.036,2.234,91.88,1.603824257850647,0.03084350936114788
3135.5,8.27,0.275,100.84,124.1,0.311,4.28,0.294,2.72,1.076,2.24,91.88,1.56121027469635,0.029779251664876938
3136.0,8.27,0.274,101.17,121.08,0.333,4.29,0.305,3.1,1.097,2.242,91.64,1.4743237495422363,0.0274824071675539
3136.5,8.26,0.275,100.98,110.87,0.306,4.3,0.291,3.28,1.102,2.24,91.25,0.4803200662136078,0.024199705570936203
3137.0,8.27,0.277,101.16,104.07,0.296,4.32,0.287,3.27,1.089,2.237,91.25,2.3379433155059814,0.02738497033715248
3137.5,8.3,0.283,101.23,97.26,0.331,4.33,0.308,3.18,1.076,2.227,91.25,14.42011547088623,0.03531011566519737
3138.0,8.29,0.292,101.37,113.14,0.347,4.36,0.321,3.26,1.083,2.211,91.25,6.145208358764648,0.026135986670851707
3138.5,8.28,0.296,101.72,118.05,0.344,4.39,0.321,3.38,1.103,2.203,91.25,5.1424641609191895,0.024039376527071
3139.0,8.27,0.296,101.06,112.01,0.327,4.42,0.312,3.16,1.065,2.204,91.21,13.043360710144043,0.029971450567245483
3139.5,8.25,0.29,100.77,107.85,0.333,4.45,0.312,2.7,1.022,2.215,91.21,78.80020904541016,0.04877975955605507
3140.0,8.21,0.284,100.86,100.32,0.32,4.46,0.303,2.9,1.036,2.224,91.25,111.97567749023438,0.04835071414709091
3140.5,8.22,0.276,100.84,124.48,0.34,4.47,0.31,3.78,1.1,2.238,91.21,2.9803194999694824,0.02709001861512661
3141.0,8.22,0.279,101.38,125.61,0.368,4.48,0.327,3.83,1.122,2.234,91.25,4.457221508026123,0.027275996282696724
