DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE,K_GD_N_PRE
2706.0,10.71,0.232,-999.25,99.75,0.42,3.43,0.339,1.65,2.314,-999.25,-999.25,,
2706.5,11.23,0.247,-999.25,101.38,0.435,3.61,0.354,1.53,2.288,-999.25,-999.25,,
2707.0,11.18,0.279,-999.25,98.93,0.446,3.72,0.372,1.5,2.233,-999.25,-999.25,,
2707.5,11.21,0.279,-999.25,97.55,0.435,3.71,0.365,1.62,2.232,-999.25,-999.25,,
2708.0,10.8,0.278,-999.25,93.48,0.411,3.6,0.351,1.68,2.234,-999.25,-999.25,,
2708.5,10.79,0.25,-999.25,95.69,0.41,3.51,0.34,1.81,2.283,-999.25,-999.25,,
2709.0,10.25,0.255,-999.25,95.04,0.423,3.45,0.349,1.81,2.274,-999.25,-999.25,,
2709.5,10.51,0.252,-999.25,96.02,0.423,3.39,0.348,1.79,2.279,-999.25,-999.25,,
2710.0,10.45,0.243,-999.25,93.06,0.406,3.32,0.335,1.71,2.295,-999.25,-999.25,,
2710.5,10.94,0.24,-999.25,94.09,0.386,3.28,0.321,1.51,2.299,-999.25,-999.25,,
2711.0,10.15,0.232,-999.25,93.1,0.42,3.28,0.339,1.44,2.314,-999.25,-999.25,,
2711.5,10.77,0.232,-999.25,96.86,0.419,3.27,0.339,1.55,2.313,-999.25,-999.25,,
2712.0,10.48,0.223,-999.25,95.41,0.408,3.21,0.329,1.64,2.328,-999.25,-999.25,,
2712.5,11.02,0.225,-999.25,98.87,0.455,3.18,0.359,1.65,2.326,-999.25,-999.25,,
