DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N
4305,8.75,82.433,77.324,2.53,77.5,0.198,2.454,3.05,0.149,0.237,89.94,188.91,0.148791224,2.718,8.236,2.05E-07,1.40E-06,4.19E-06
4305.5,8.73,79.742,76.938,2.63,77.5,0.191,2.461,3,0.146,0.228,87.09,184.59,0.145712271,2.719,8.151,1.68E-07,2.53E-05,3.79E-06
4306,8.74,75.334,72.597,2.77,77.5,0.178,2.466,2.96,0.143,0.208,92.05,183.34,0.152760681,2.712,8.056,1.31E-07,0.0001011,0
4306.5,8.73,77.785,74.287,2.8,77.5,0.171,2.473,2.85,0.139,0.198,92.75,186.85,0.15351196,2.702,7.808,9.41E-08,0.000226272,0
4307,8.75,82.053,78.046,2.52,77.5,0.176,2.473,2.71,0.139,0.207,95.36,191.43,0.156436891,2.698,7.389,5.72E-08,0.000158325,0
4307.5,8.74,90.268,85.221,2.23,77.422,0.186,2.466,2.58,0.143,0.221,93.12,192.03,0.150764116,2.699,7.117,2.02E-08,3.81E-07,2.30E-07
4308,8.73,94.19,87.892,2.02,77.5,0.196,2.444,2.54,0.156,0.229,92.3,187.01,0.148799974,2.703,6.884,4.07E-05,5.66E-06,5.73E-06
4308.5,8.75,95.229,87.713,2.26,77.463,0.203,2.422,2.55,0.169,0.232,93.05,184.62,0.148176084,2.703,6.881,8.14E-05,3.73E-05,7.14E-06
4309,8.73,89.892,83.732,2.52,77.734,0.202,2.412,2.56,0.174,0.226,95.87,184.46,0.155657041,2.7,6.847,0.000122152,0.00020381,1.90E-05
4309.5,8.73,92.26,85.762,2.51,77.539,0.199,2.41,2.55,0.175,0.221,95.52,187.13,0.151248958,2.697,6.879,0.000162863,0.0001842,0
4310,8.74,94.548,88.524,2.49,77.5,0.202,2.409,2.54,0.176,0.224,96.16,189.09,0.150853094,2.699,6.842,0.000203574,7.67E-05,0
4310.5,8.73,97.739,90.352,2.43,77.5,0.201,2.411,2.52,0.175,0.224,96.64,191.01,0.151766699,2.702,6.846,0.011662449,5.48E-06,0
4311,8.74,98.525,91.485,2.39,77.461,0.204,2.413,2.51,0.174,0.231,98.77,194.41,0.157849471,2.702,6.837,0.023121325,2.46E-06,0
4311.5,8.72,96.026,91.42,2.34,77.5,0.213,2.41,2.54,0.176,0.245,96.41,195.07,0.154717449,2.697,6.689,0.034580201,1.37E-06,0
4312,8.73,95.034,91.932,2.32,77.5,0.223,2.405,2.58,0.178,0.26,90.96,189.08,0.150887387,2.694,6.588,0.046039076,0.004581331,0.000672292
4312.5,8.72,88.542,84.207,2.25,77.5,0.223,2.413,2.6,0.174,0.263,84.92,180.49,0.152621552,2.696,6.503,0.057497952,7.646131107,0.504454351
4313,8.72,80.381,78.135,2.29,77.5,0.193,2.434,2.61,0.161,0.22,84.47,178.71,0.15433711,2.708,6.626,0.050731485,6.804807047,0.57979953
4313.5,8.72,72.903,70.719,2.42,77.344,0.165,2.452,2.59,0.151,0.179,89.81,185.68,0.142524333,2.718,6.899,0.043965018,8.812195504,0.775417424
4314,8.74,72.512,70.478,2.53,77.5,0.166,2.446,2.6,0.154,0.177,99.96,200.48,0.160199776,2.735,7.2,0.037198551,8.311071538,0.615459804
4314.5,8.73,86.79,82.85,2.09,77.617,0.198,2.42,2.61,0.17,0.223,106.8,217.99,0.167779105,2.742,7.566,0.030432084,4.659587402,0.204287357
4315,8.74,103.472,98.696,1.69,77.773,0.234,2.389,2.67,0.188,0.272,109.03,227.32,0.141824717,2.744,7.689,0.023665616,1.877859288,0.039759244
4315.5,8.72,117.408,113.458,1.43,78.052,0.26,2.383,2.7,0.191,0.314,109.36,230.36,0.138,2.739,7.822,0.025694678,2.421643897,0.048968832
4316,8.73,121.109,115.802,1.37,78.125,0.265,2.39,2.76,0.187,0.325,109.28,231.07,0.139,2.739,7.869,0.02772374,2.575706377,0.050074276
4316.5,8.72,126.84,122.111,1.33,78.125,0.272,2.403,2.8,0.179,0.341,109.62,231.88,0.143,2.746,7.914,0.029752802,3.01431197,0.053492782
4317,8.73,130.168,124.724,1.29,78.125,0.271,2.401,2.86,0.181,0.338,109.66,232.44,0.148,2.752,7.872,0.031781864,3.67150591,0.08378874
4317.5,8.73,137.034,130.587,1.25,78.235,0.272,2.4,2.92,0.181,0.339,109.58,232.96,0.142,2.754,7.889,0.033810926,3.020325331,0.188290441
4318,8.72,135.324,128.425,1.22,78.555,0.274,2.396,3.03,0.184,0.341,109.84,233.42,0.169,2.746,7.98,0.041689567,6.093827146,0.37092996
4318.5,8.72,135.316,127.988,1.21,78.75,0.272,2.401,3.15,0.181,0.34,110.53,235.28,0.176,2.739,8.042,0.049568207,7.090936194,0.496849722
4319,8.73,132.295,124.443,1.21,78.75,0.277,2.407,3.24,0.177,0.35,111.36,238.38,0.177,2.727,7.964,0.057446848,6.834512423,0.427458092
4319.5,8.73,131.539,125.176,1.2,79.102,0.267,2.416,3.18,0.172,0.336,112.84,242.3,0.182,2.719,7.901,0.065325488,7.588100954,0.394785474
4320,8.74,130.929,126.473,1.2,79.18,0.268,2.42,3.05,0.17,0.339,114.66,245.18,0.195,2.714,7.87,0.073204128,9.660760487,0.330978173
4320.5,8.73,128.328,126.395,1.22,79.485,0.263,2.411,2.99,0.175,0.329,115.21,241.93,0.198,2.716,7.961,0.070769275,10.2873465,0.347036061
4321,8.74,128.123,125.838,1.19,79.648,0.279,2.4,3.07,0.182,0.351,112.3,229.82,0.199,2.716,8.103,0.068334421,10.95199841,0.433148759
4321.5,8.73,131.697,132.314,1.21,80,0.28,2.388,3.26,0.188,0.348,108.37,217.21,0.188,2.715,8.364,0.065899568,8.919165433,0.357332187
4322,8.74,146.75,149.347,1.45,80,0.29,2.379,3.48,0.194,0.361,105.6,211.04,0.17,2.717,8.66,0.063464714,6.159066078,0.320027782
4322.5,8.74,168.365,168.638,1.78,79.883,0.286,2.378,3.65,0.194,0.355,102.59,208.05,0.168,2.725,8.784,0.061029861,5.838127378,0.256680988
4323,8.74,190.967,189.523,1.84,79.883,0.291,2.387,3.71,0.189,0.365,102.39,202.2,0.186,2.73,9.02,0.054310871,9.241251076,0.351457921
4323.5,8.75,201.722,199.901,1.85,79.522,0.28,2.406,3.69,0.178,0.354,97.77,194.49,0.184,2.728,9.44,0.047591882,8.885785907,0.345650035
4324,8.73,204.833,200.19,2.01,79.609,0.274,2.436,3.7,0.16,0.353,90.56,184.87,0.172,2.729,9.901,0.040872892,6.324317557,0.224331928
4324.5,8.73,199.751,193.327,2.33,79.805,0.247,2.468,3.79,0.142,0.319,84.42,176.85,0.153,2.735,10.207,0.034153903,3.622247433,0.156227443
4325,8.73,200.549,196.885,2.9,79.609,0.217,2.497,3.9,0.124,0.28,86.07,174.98,0.134,2.738,10.213,0.027434914,1.826681776,0.12808652
4325.5,8.74,203.929,194.663,3.08,79.412,0.192,2.502,3.97,0.121,0.243,90.77,177.49,0.141,2.738,10.088,0.032440986,2.260330836,0.153013219
4326,8.73,212.717,196.875,2.89,79.414,0.189,2.486,4,0.131,0.233,89.33,182.09,0.154,2.736,9.956,0.037447059,3.436576211,0.196334962
4326.5,8.74,218.938,200.454,2.72,79.375,0.199,2.466,3.99,0.143,0.243,88.07,184.03,0.163,2.732,9.949,0.042453132,4.941003125,0.286568208
4327,8.75,210.134,190.97,2.6,79.485,0.207,2.45,3.96,0.152,0.25,90.13,187.35,0.169,2.727,9.945,0.047459204,5.823855659,0.308593166
4327.5,8.75,188.091,168.618,2.47,79.531,0.209,2.445,3.86,0.155,0.252,92.21,192.86,0.172,2.726,9.866,0.052465277,6.720320779,0.224331928
4328,8.75,166.95,152.009,2.31,79.414,0.225,2.438,3.75,0.159,0.275,99.74,198.65,0.168,2.721,9.615,0.056584204,6.102600137,0.167446447
4328.5,8.77,151.863,137.768,2.12,79.596,0.241,2.428,3.62,0.165,0.298,103.14,204.61,0.167,2.719,9.203,0.060703131,5.574123438,0.086779447
4329,8.81,144.378,133.416,1.98,79.375,0.259,2.416,3.5,0.172,0.323,104.36,207.43,0.17,2.718,8.779,0.064822058,5.818735299,0.032201276
4329.5,8.85,128.472,120.237,1.89,79.375,0.263,2.412,3.34,0.174,0.329,102.56,204.55,0.178,2.723,8.482,0.068940985,6.947112892,0.068505422
4330,8.72,115.035,110.14,1.88,79.228,0.264,2.414,3.18,0.173,0.33,99.66,200.73,0.19,2.72,8.241,0.073059912,9.232349725,0.375357312
4330.5,8.72,100.59,93.986,1.9,79.375,0.252,2.404,3.07,0.179,0.308,98.13,199.21,0.181,2.717,7.869,0.078170588,7.731849547,0.388141591
4331,8.68,88.519,87.648,2,79.375,0.246,2.387,3.01,0.189,0.293,99.29,200.68,0.181,2.719,7.444,0.083281264,7.770452904,0.388141591
4331.5,8.68,80.82,82.231,2.09,79.154,0.242,2.377,2.94,0.195,0.281,101.61,203.7,0.183,2.721,7.216,0.08839194,8.308135798,0.408305815
