DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE,K_GD_N_PRE
3109.5,8.33,0.249,104.33,99.34,0.317,3.81,0.285,3.51,1.454,2.285,101.25,5578.975586,0.141257882
3110,8.3,0.243,104.12,100.66,0.324,3.85,0.286,3.77,1.479,2.294,100.7,10468.28516,0.144793794
3110.5,8.31,0.238,103.9,95.37,0.315,3.88,0.279,3.66,1.445,2.303,100.18,3926.359131,0.125399411
3111,8.28,0.238,103.43,98.77,0.346,3.91,0.297,3.44,1.408,2.304,99.84,18512.72852,0.174888626
3111.5,8.27,0.235,103.28,101.8,0.33,3.93,0.286,3.23,1.381,2.308,99.38,10691.46094,0.134320989
3112,8.27,0.232,103.59,98.77,0.31,3.96,0.274,3.3,1.39,2.313,99.38,3530.568848,0.10493724
3112.5,8.29,0.238,102.99,115.5,0.307,3.97,0.275,3.4,1.384,2.304,98.98,19575.85938,0.095466986
3113,8.27,0.249,104.32,103.69,0.335,3.98,0.295,3.37,1.373,2.284,98.87,6924.414551,0.122432031
3113.5,8.26,0.255,104.81,102.93,0.347,3.99,0.304,3.37,1.379,2.273,98.75,6515.091309,0.131671786
3114,8.26,0.261,104.69,111.63,0.319,4,0.291,3.38,1.385,2.265,98.63,4630.252441,0.111379117
3114.5,8.25,0.268,104.5,125.71,0.337,4.01,0.304,3.32,1.37,2.251,98.13,8485.223389,0.134591013
3115,8.26,0.273,103.45,105.96,0.345,4.01,0.311,3.27,1.364,2.244,98.16,12340.19434,0.230956852
3115.5,8.27,0.267,102.9,101.04,0.314,4.01,0.291,3.25,1.353,2.254,98.13,2641.351318,0.195863932
3116,8.25,0.259,103.3,105.2,0.299,4,0.28,2.96,1.313,2.267,98.13,1556.343262,0.102556311
3116.5,8.26,0.256,104.29,110.49,0.317,3.98,0.288,3.12,1.362,2.273,98.4,4576.845703,0.107228898
3117,8.29,0.256,104.82,105.96,0.314,3.92,0.286,3.19,1.368,2.272,98.13,1585.94165,0.108387597
3117.5,8.3,0.257,104.75,116.92,0.386,3.89,0.328,3.4,1.37,2.27,98.05,2158.991821,0.21809721
3118,8.3,0.257,104.2,106.71,0.322,3.91,0.291,3.32,1.391,2.271,97.5,2732.041992,0.118228637
3118.5,8.28,0.258,104.32,102.56,0.356,3.94,0.311,3.55,1.4,2.269,97.13,8376.320313,0.134922802
3119,8.3,0.255,104.23,104.07,0.342,3.96,0.302,3.59,1.37,2.274,96.69,4618.411621,0.124414839
3119.5,8.29,0.254,103.55,121.08,0.324,3.98,0.291,3.17,1.293,2.276,96.25,11458.3457,0.099812515
3120,8.27,0.26,103.09,103.69,0.356,4,0.312,3.03,1.176,2.265,95.62,7073.191406,0.129012242
3120.5,8.26,0.27,102.5,103.69,0.37,4.01,0.324,2.39,1.058,2.248,95.2,6788.217773,0.51837796
3121,8.23,0.274,102.58,105.96,0.343,4.04,0.31,2.65,1.135,2.242,95,2624.694336,0.18573533
3121.5,8.23,0.269,102.77,129.01,0.347,4.06,0.31,3.48,1.234,2.25,94.69,2629.359131,0.132175595
3122,8.26,0.27,102.28,138.47,0.324,4.09,0.298,4.07,1.269,2.248,94.37,2634.023926,0.146520033
3122.5,8.24,0.278,102.1,118.81,0.334,4.12,0.307,3.61,1.224,2.234,93.98,4339.270166,0.128768981
3123,8.27,0.283,101.22,126.37,0.345,4.16,0.316,3.57,1.234,2.225,93.71,6044.516406,0.135577306
3123.5,8.27,0.279,100.9,131.09,0.334,4.2,0.308,3.83,1.258,2.233,93.56,7749.762646,0.139806658
3124,8.31,0.277,100.7,142.25,0.347,4.23,0.314,3.64,1.246,2.236,93.52,9455.008887,0.126806602
3124.5,8.32,0.278,99.91,135.44,0.352,4.26,0.317,3.22,1.198,2.235,93.13,11160.25513,0.122655712
3125,8.31,0.279,99.6,118.43,0.324,4.28,0.302,3.12,1.173,2.233,93.13,12865.50137,0.104976147
3125.5,8.31,0.276,99.35,145.27,0.319,4.3,0.298,3.51,1.236,2.239,93.13,14570.74761,0.105708107
3126,8.26,0.271,99.24,134.69,0.318,4.33,0.295,3.77,1.283,2.247,93.48,16275.99385,0.108858995
3126.5,8.25,0.272,99.69,121.08,0.316,4.34,0.295,3.83,1.337,2.245,93.75,17981.24009,0.104313925
3127,8.25,0.274,100.07,168.33,0.321,4.34,0.298,4.06,1.384,2.241,93.75,19686.48633,0.080411457
3127.5,8.23,0.281,100.45,161.24,0.307,4.33,0.294,4.02,1.419,2.23,93.75,284.0045471,0.134266421
3128,8.23,0.281,101.19,189.88,0.316,4.32,0.299,3.98,1.443,2.229,93.75,16393.50391,0.2047593
3128.5,8.22,0.279,101.85,180.42,0.321,4.36,0.301,3.72,1.416,2.233,93.94,14317.26359,0.091480926
3129,8.19,0.276,102.03,188.74,0.298,4.61,0.287,3.42,1.378,2.238,93.79,12241.02327,0.079046652
3129.5,8.19,0.273,101.92,179.29,0.308,4.66,0.291,3.27,1.353,2.242,93.83,10164.78296,0.058577158
3130,8.22,0.272,101.61,170.22,0.332,4.56,0.303,3.11,1.356,2.244,94.22,8088.542643,0.049598724
3130.5,8.21,0.268,101.38,181.18,0.312,4.46,0.291,3.47,1.41,2.252,94.3,6012.302327,0.069625534
