UWI,Fm Name [42] (*=Aliased),Src,MD,SSTVD,TVD,Qual,Time(ms),Rpt,Sym,Hole Angle,Chg Date,Remarks,Desc
26123214870000,SkullCreek_Sh,Petrel,5241,-775,5241,,,,,,,,
26123214870000,Lakota_U,Petrel,5357.35,-891.35,5357.35,,,,,,,,
26123214870000,Lakota_L,Petrel,5505.47,-1039.47,5505.47,,,,,,,,
26123214870000,Morrison,Petrel,5674.6,-1208.6,5674.6,,,,,,,,
26123214870000,Jurassic_L,Petrel,5847.33,-1381.33,5847.33,,,,,,,,
26123214870000,SundanceBase,Petrel,5892.73,-1426.73,5892.73,,,,,,,,
26123214870000,Forelle,Petrel,5919.76,-1453.76,5919.76,,,,,,,,
26123214870000,Minnekahta,Petrel,5944.34,-1478.34,5944.34,,,,,,,,
26123214870000,Opeche,Petrel,5972,-1506,5972,,,,,,,,
26123214870000,DayCrk,Petrel,5991.49,-1525.49,5991.49,,,,,,,,
26123214870000,Blaine,Petrel,5991.49,-1525.49,5991.49,,,,,,,,
26123214870000,Flowerpot_Sh,Petrel,6098.78,-1632.78,6098.78,,,,,,,,
26123214870000,Flowerpot_Anhy,Petrel,6119.37,-1653.37,6119.37,,,,,,,,
26123214870000,Lyons,Petrel,6146.37,-1680.37,6146.37,,,,,,,,
26123214870000,SaltPlain,Petrel,6217.48,-1751.48,6217.48,,,,,,,,
26123214870000,StoneCorral,Petrel,6294.21,-1828.21,6294.21,,,,,,,,
26123214870000,Wolfcamp,Petrel,6380,-1914,6380,,,,,,,,
26123214870000,Virgil,Petrel,6829,-2363,6829,,,,,,,,
26123214870000,Missouri,Petrel,6983,-2517,6983,,,,,,,,
26123214870000,DesMoines,Petrel,7040,-2574,7040,,,,,,,,
26123214870000,Atoka,Petrel,7268,-2802,7268,,,,,,,,
26123214870000,Cherokee,Petrel,7305,-2839,7305,,,,,,,,
26123214870000,Precambrian,Petrel,6624,-2158,6624,,,,,,,,
26123214040000,SharonSprings,Petrel,3193.4,698.6,3193.4,,,,,,,,
26123214040000,Niobrara,Petrel,3221,671,3221,,,,,,,,
26123214040000,FtHays,Petrel,3505.23,386.77,3505.23,,,,,,,,
26123214040000,Graneros,Petrel,3767.25,124.75,3767.25,,,,,,,,
26123214040000,Mowry,Petrel,3912,-20,3912,,,,,,,,
26123214040000,D_Sand,Petrel,4007.75,-115.75,4007.75,,,,,,,,
26123214040000,Huntsman,Petrel,4090.17,-198.17,4090.17,,,,,,,,
26123214040000,J_Sand,Petrel,4149.86,-257.86,4149.86,,,,,,,,
26123214040000,SkullCreek_Sh,Petrel,4215.23,-323.23,4215.23,,,,,,,,
26123214040000,Lakota_U,Petrel,4365.86,-473.86,4365.86,,,,,,,,
26123214040000,Lakota_L,Petrel,4544.91,-652.91,4544.91,,,,,,,,
