DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
2975.0,8.51,0.283,-999.25,142.42,0.365,4.77,0.327,2.28,2.226,-999.25,-999.25,
2975.5,8.53,0.287,-999.25,144.33,0.329,4.81,0.309,2.01,2.219,-999.25,-999.25,
2976.0,8.56,0.291,-999.25,149.74,0.346,4.8,0.32,2.02,2.213,-999.25,-999.25,
2976.5,8.65,0.29,-999.25,162.25,0.414,4.7,0.357,2.26,2.214,-999.25,-999.25,
2977.0,8.74,0.289,-999.25,168.93,0.398,4.6,0.348,2.77,2.216,-999.25,-999.25,
2977.5,8.81,0.287,-999.25,166.14,0.397,4.53,0.346,2.99,2.219,-999.25,-999.25,
2978.0,8.81,0.288,-999.25,157.33,0.389,4.55,0.342,2.49,2.218,-999.25,-999.25,
2978.5,8.75,0.292,-999.25,145.0,0.377,4.53,0.337,2.19,2.21,-999.25,-999.25,
2979.0,8.74,0.301,-999.25,138.25,0.385,4.53,0.346,1.92,2.196,-999.25,-999.25,
2979.5,8.75,0.306,-999.25,140.49,0.377,4.49,0.343,1.73,2.187,-999.25,-999.25,
2980.0,8.88,0.298,-999.25,157.94,0.375,4.48,0.339,2.52,2.2,-999.25,-999.25,
2980.5,8.98,0.29,-999.25,166.52,0.383,4.42,0.34,4.38,2.215,-999.25,-999.25,
2981.0,9.06,0.286,-999.25,159.82,0.404,4.39,0.35,3.16,2.221,-999.25,-999.25,
2981.5,9.03,0.289,-999.25,143.6,0.379,4.39,0.337,2.33,2.216,-999.25,-999.25,
2982.0,8.96,0.294,-999.25,136.53,0.342,4.39,0.319,2.12,2.207,-999.25,-999.25,
2982.5,8.92,0.298,-999.25,134.47,0.342,4.38,0.321,2.19,2.2,-999.25,-999.25,
2983.0,8.9,0.303,-999.25,136.79,0.355,4.34,0.33,2.3,2.192,-999.25,-999.25,
2983.5,8.99,0.301,-999.25,143.46,0.354,4.35,0.329,2.66,2.195,-999.25,-999.25,
2984.0,9.12,0.297,-999.25,155.18,0.343,4.35,0.321,4.4,2.203,-999.25,-999.25,
2984.5,9.19,0.297,-999.25,157.97,0.338,4.36,0.318,5.54,2.202,-999.25,-999.25,
2985.0,9.13,0.302,-999.25,154.0,0.342,4.38,0.323,3.3,2.193,-999.25,-999.25,
2985.5,8.99,0.306,-999.25,144.13,0.325,4.44,0.316,2.32,2.186,-999.25,-999.25,
2986.0,8.88,0.301,-999.25,142.89,0.35,4.52,0.326,2.38,2.196,-999.25,-999.25,
2986.5,8.9,0.291,-999.25,142.89,0.319,4.6,0.305,2.83,2.212,-999.25,-999.25,
2987.0,8.96,0.282,-999.25,138.97,0.342,4.66,0.313,3.05,2.228,-999.25,-999.25,
2987.5,9.06,0.278,-999.25,141.53,0.34,4.7,0.311,3.05,2.235,-999.25,-999.25,
2988.0,9.2,0.274,-999.25,150.81,0.338,4.66,0.308,3.41,2.242,-999.25,-999.25,
2988.5,9.18,0.27,-999.25,167.02,0.369,4.63,0.323,4.94,2.248,-999.25,-999.25,
2989.0,9.1,0.269,-999.25,170.15,0.37,4.61,0.323,4.47,2.251,-999.25,-999.25,
2989.5,9.1,0.272,-999.25,165.53,0.371,4.67,0.325,2.75,2.245,-999.25,-999.25,
2990.0,9.14,0.277,-999.25,165.92,0.369,4.77,0.326,2.57,2.237,-999.25,-999.25,
2990.5,9.25,0.278,-999.25,168.71,0.34,4.86,0.311,3.27,2.234,-999.25,-999.25,
2991.0,9.33,0.271,-999.25,174.75,0.346,4.87,0.311,4.21,2.246,-999.25,-999.25,
2991.5,9.43,0.262,-999.25,173.7,0.355,4.84,0.312,4.66,2.262,-999.25,-999.25,
2992.0,9.45,0.257,-999.25,170.1,0.34,4.83,0.301,3.3,2.27,-999.25,-999.25,
2992.5,9.36,0.258,-999.25,162.69,0.334,4.86,0.298,2.77,2.269,-999.25,-999.25,
2993.0,9.3,0.26,-999.25,160.92,0.313,4.85,0.288,2.49,2.265,-999.25,-999.25,
