DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_N,K_TIM_N,K_SDR_N_PRE
1267,10.52,0.313,-999.25,92,0.372,2.89,0.344,1.72,2.174,-999.25,-999.25,
1267.5,10.5,0.283,-999.25,97.16,0.348,3.03,0.317,1.47,2.226,-999.25,-999.25,
1268,11.13,0.287,-999.25,101.04,0.405,3.11,0.351,1.27,2.218,-999.25,-999.25,
1268.5,10.52,0.3,-999.25,97.86,0.399,3.08,0.353,1.43,2.197,-999.25,-999.25,
1269,10.61,0.316,-999.25,93.04,0.403,2.98,0.362,1.48,2.17,-999.25,-999.25,
1269.5,10.88,0.315,-999.25,85.02,0.489,2.89,0.411,1.34,2.172,-999.25,-999.25,
1270,11.28,0.308,-999.25,84.59,0.483,2.81,0.405,1.06,2.184,-999.25,-999.25,
1270.5,11.98,0.318,-999.25,85.61,0.473,2.75,0.403,1.11,2.167,-999.25,-999.25,
1271,11.96,0.351,-999.25,85.94,0.404,2.72,0.378,1.56,2.11,-999.25,-999.25,
1271.5,12.59,0.386,-999.25,73.45,0.498,2.7,0.446,1.97,2.05,-999.25,-999.25,
1272,12.86,0.437,-999.25,69.13,0.58,2.71,0.514,1.54,1.962,-999.25,-999.25,
1272.5,14.86,0.487,-999.25,71.75,0.579,2.69,0.535,0.9,1.877,-999.25,-999.25,
1273,13.31,0.512,-999.25,84,0.975,2.64,0.779,0.83,1.835,-999.25,-999.25,
