DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RHOB_N,K_SDR_D,K_TIM_D,K_SDR_N,K_SDR_N_PRE
4313.0,7.84,0.093,80.99,80.92,0.157,3.45,0.129,2.19,2.55,-999.25,-999.25,0.015267808,0.006842538248747587
4313.5,7.99,0.128,83.75,88.39,0.185,3.51,0.159,2.04,2.491,-999.25,-999.25,0.076555118,0.003322533331811428
4314.0,8.01,0.131,87.43,90.21,0.22,3.61,0.181,1.8,2.486,-999.25,-999.25,0.082216896,0.01511186920106411
4314.5,8.01,0.115,83.99,87.04,0.186,3.74,0.155,1.98,2.514,-999.25,-999.25,0.07727281,0.01535338256508112
4315.0,7.92,0.081,77.8,79.39,0.118,3.87,0.101,2.34,2.572,-999.25,-999.25,0.017850982,0.004656382370740175
4315.5,8.0,0.053,77.92,74.33,0.126,3.89,0.097,2.5,2.62,-999.25,-999.25,0.016643213,0.004027174785733223
4316.0,8.01,0.036,79.79,75.89,0.161,3.82,0.117,2.75,2.649,-999.25,-999.25,0.010845739,0.004211230203509331
4316.5,7.88,0.055,77.18,80.32,0.13,3.73,0.1,2.97,2.616,-999.25,-999.25,0.009762445,0.00363223347812891
4317.0,7.98,0.085,77.25,91.65,0.121,3.66,0.105,2.72,2.565,-999.25,-999.25,0.004219231,0.002906761597841978
4317.5,7.99,0.109,80.41,98.65,0.162,3.61,0.138,2.65,2.524,-999.25,-999.25,0.07816793,0.004523711744695902
4318.0,7.97,0.118,82.9,107.68,0.193,3.56,0.16,2.64,2.508,-999.25,-999.25,0.111222558,0.005425766110420227
4318.5,8.0,0.124,87.91,108.32,0.254,3.54,0.2,2.55,2.497,-999.25,-999.25,0.006353289,0.0008001550449989736
4319.0,8.0,0.117,85.84,105.94,0.239,3.57,0.188,2.85,2.51,-999.25,-999.25,0.008902912,0.0012851700885221362
4319.5,7.94,0.101,79.26,100.23,0.177,3.66,0.144,3.74,2.538,-999.25,-999.25,0.052784536,0.002863476984202862
