DEPT,TCMR,BVI,FFI,T2lm_BVI,T2lm_FFI,Permeability,Permeability_Core
3916.25,0.126426438,0.109854765,0.016571673,3.94182354,59.54435866,0.008414714,
3916.875,0.102724055,0.071141318,0.031582736,2.323192966,49.54606154,0.025019104,
3917.5,0.093864254,0.060873193,0.032991061,2.010890588,64.02844043,0.048841966,
3918.125,0.107054568,0.046308639,0.060745929,1.365914094,69.2040302,0.652188782,
3918.75,0.137131206,0.067801404,0.069329802,7.085606181,82.48913507,1.573572645,
3919.375,0.155146921,0.026864527,0.128282393,4.838447651,60.90972959,10.04714448,
3920,0.178096114,0.139105037,0.038991077,26.92122388,83.07256471,0.260306998,
3920.625,0.180787257,0.153365846,0.027421411,25.17733405,87.6603774,0.182739026,
3921.25,0.179911146,0.160842434,0.019068712,31.11278117,116.5211969,0.226180356,
3921.875,0.183679844,0.086371514,0.097308329,18.78428543,72.30496592,4.697900299,
3922.5,0.19288101,0.076230671,0.11665034,13.900644,72.42784849,9.717734638,
3923.125,0.195490725,0.071627434,0.123863291,14.32854321,62.55021008,9.213100895,
3923.75,0.193676223,0.099794186,0.093882038,17.44812603,74.8097104,4.364868839,
3924.375,0.193022331,0.048914374,0.144107957,4.106932435,70.20584738,21.2570613,
3925,0.201320609,0.045453331,0.155867278,4.716279343,72.09141509,30.6753663,
3925.625,0.210708417,0.034556031,0.176152386,6.206109423,64.48420242,40.0370202,
3926.25,0.216457751,0.016815751,0.199642,4.293059721,58.08396047,53.59448706,
3926.875,0.21601844,0.010726873,0.205291566,6.219186633,63.67239959,72.00901549,
3927.5,0.210557955,0.016098115,0.19445984,10.43941367,81.96938239,96.07780066,
3928.125,0.210822862,0.031372065,0.179450796,8.51917921,129.0774062,172.7755272,
3928.75,0.196170345,0.00779991,0.188370436,7.100669622,136.4531312,234.4325882,
3929.375,0.190086578,0.012498354,0.177588223,4.422275379,121.6557863,147.2048745,
3930,0.187461354,0.152497372,0.034963983,26.32783403,257.5394734,1.133607716,
3930.625,0.185732985,0.16855066,0.017182325,13.48906554,238.2096201,0.158327973,
3931.25,0.184388261,0.178152658,0.006235603,13.43457334,329.6299296,0.136972429,
3931.875,0.172277924,0.158576749,0.013701174,14.97695957,136.2840101,0.101252088,
