DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N,K_CORE_AIR,K_CORE_BRINE
4723.5,8.99,21.595,15.079,847.01,84.375,0,2.094,4.83,0.36,0.024,77.12,144.92,0.07,2.04,9.784,0.00166092,0.005513166,0.004632747,,
4724,8.96,20.162,15.216,981.74,84.297,0,2.087,4.79,0.364,0.01,72.05,135.61,0.046,2.04,9.784,0.000139533,0.00056789,0.003105126,,
4724.5,8.95,15.844,11.511,875.75,83.75,0,2.054,4.82,0.384,-0.004,71.22,123.15,0.026,2.04,9.784,3.62E-06,1.99E-05,0.001577506,,
4725,8.92,11.362,8.759,873.66,83.75,0,2.036,4.82,0.394,-0.008,71.49,123.79,0.021,2.04,9.784,9.26E-07,5.71E-06,4.99E-05,,
4725.5,8.91,9.554,7.516,812.58,83.75,0,2.039,4.84,0.392,-0.01,71.9,124.26,0.024,2.04,9.784,1.88E-06,1.09E-05,0.000103982,,
4726,8.91,9.164,7.051,976.51,83.594,0,2.05,4.78,0.386,-0.01,71.42,137.88,0.029,2.04,9.784,5.31E-06,2.84E-05,0.000158078,,
4726.5,8.91,11.307,8.988,995.76,83.125,0,2.053,4.76,0.384,-0.011,71.76,151.51,0.034,2.04,9.784,1.27E-05,6.33E-05,0.000212175,,
4727,8.94,11.646,9.242,1408.09,82.656,0,2.049,4.78,0.387,-0.012,71.86,150.89,0.037,2.04,9.784,2.06E-05,9.86E-05,0.000266272,,
4727.5,8.92,10.896,7.637,1693.72,82.305,0,2.045,4.8,0.389,-0.013,72.22,150.55,0.036,2.04,9.784,1.52E-05,7.47E-05,0.000320369,,
4728,8.92,8.897,6.662,1478.26,82.188,0,2.039,4.84,0.392,-0.013,72.02,137.95,0.034,2.04,9.784,8.70E-06,4.47E-05,0.000285985,,
4728.5,8.9,7.607,5.681,1221.58,81.875,0,2.042,4.87,0.391,-0.013,71.53,125.34,0.029,2.04,9.784,3.47E-06,1.92E-05,0.000251602,,
4729,8.92,8.366,7.148,961.62,81.406,0,2.044,4.91,0.39,-0.013,71.35,124.9,0.024,2.04,9.784,1.02E-06,6.26E-06,0.000217218,,
4729.5,8.91,10.093,8.222,759.95,81.406,0,2.05,4.9,0.386,-0.013,71.03,122.39,0.021,2.04,9.784,2.00E-07,1.41E-06,0.000182835,,
4730,8.93,10.885,8.919,611.11,80.898,0,2.054,4.87,0.384,-0.013,71.72,120.37,0.02,2.04,9.784,8.76E-08,6.63E-07,0.000148451,,
4730.5,8.92,10.497,8.65,598.2,80.625,0,2.053,4.89,0.384,-0.013,70.25,117.88,0.019,2.04,9.784,9.96E-08,7.46E-07,0.000120751,,
4731,8.91,10.444,8.35,731.74,80.625,0,2.047,4.97,0.387,-0.013,69.45,116.27,0.014,2.04,9.784,1.69E-07,1.20E-06,9.31E-05,,
4731.5,8.92,10.631,8.692,796.85,80.156,0,2.047,5.04,0.388,-0.013,68.1,115.91,0.013,2.04,9.784,9.13E-08,6.79E-07,6.54E-05,,
4732,8.92,10.446,8.003,1178.52,79.688,0,2.051,5.05,0.385,-0.013,67.3,122.82,0.015,2.04,9.784,2.52E-07,1.72E-06,3.77E-05,,
4732.5,8.93,9.434,7.156,700.41,79.766,0,2.052,5.04,0.385,-0.012,66.66,123.48,0.01,2.04,9.784,1.84E-08,1.56E-07,9.95E-06,,
4733,8.93,9.709,8.043,425.61,79.688,0,2.045,5,0.389,-0.012,63.35,124.17,0.009,2.04,9.784,5.14E-09,4.87E-08,0.102146395,,
4733.5,8.93,9.581,8.144,273.67,79.5,0,2.038,4.94,0.393,-0.009,65.91,124.76,0.039,2.04,9.784,8.89E-05,0.000374353,0.204282839,,
4734,8.94,13.065,11.029,275.53,79.542,0,2.055,4.91,0.383,-0.001,75.55,140.12,0.095,2.04,9.784,0.013421735,0.037450987,0.306419284,,
4734.5,8.95,19.739,15.703,189.11,80,0,2.093,4.96,0.361,0.047,85.42,156.85,0.158,2.04,9.784,0.706400567,1.414717402,0.408555729,,
