DEPT,CAL_N,SGR_N,CGR_N,RESDEEP_N,SP_N,POR_N,RHOB_N,PE_N,DPHI_N,NPHI_N,DTC_N,DTS_N,TCMR,RHOMAA_N,UMAA_N,K_GD_N,K_SDR_N,K_TIM_N,K_CORE_AIR,K_CORE_BRINE
3863.5,12.28,110.625,91.618,0.93,39.805,0.303,2.406,2.78,0.178,0.39,117.57,275.94,0.202,2.741,7.576,1.169871975,2.259695702,0.094861001,,
3864,12.28,110.834,88.084,0.89,40.147,0.284,2.396,2.78,0.184,0.358,120.32,267.76,0.207,2.731,7.745,1.323728501,2.53130733,0.101697525,,
3864.5,12.24,112.841,86.785,0.86,40,0.267,2.388,2.79,0.189,0.326,120.12,272.04,0.212,2.725,7.58,1.421494216,2.703430124,0.10853405,,
3865,12.02,114.514,88.449,0.85,40.469,0.271,2.375,2.8,0.196,0.33,120.03,278.42,0.208,2.733,7.112,1.129790112,2.191120528,0.115370575,,
3865.5,12.22,115.511,87.184,0.8,41.016,0.296,2.355,2.75,0.208,0.363,120.59,280.89,0.22,2.735,7.021,1.50216474,2.846101028,0.117118971,,
3866,12.3,117.826,86.355,0.79,41.25,0.303,2.341,2.66,0.216,0.37,121.24,284.8,0.232,2.75,7.014,2.41857957,4.402850073,0.118867368,,
3866.5,12.33,123.653,92.367,0.75,41.641,0.297,2.329,2.58,0.223,0.356,122.09,292.94,0.236,2.743,7.286,2.806217278,5.0443101,0.120615764,,
3867,12.32,124.137,93.225,0.75,43.359,0.277,2.328,2.56,0.224,0.322,120.41,299.2,0.229,2.745,7.179,2.317805847,4.233383747,0.12236416,,
3867.5,12.31,123.161,93.838,0.84,44.522,0.276,2.337,2.6,0.218,0.324,113.89,292.13,0.216,2.734,7.224,1.51094378,2.86038987,0.124112556,,
3868,12.3,121.24,89.632,1.08,46.406,0.263,2.352,2.63,0.209,0.308,115.88,285.07,0.186,2.732,7.161,0.501227617,1.040234922,0.231064731,,
3868.5,12.3,128.184,93.058,1.18,49.485,0.262,2.372,2.61,0.198,0.314,109.75,271.8,0.184,2.718,7.254,0.829093739,1.645565585,0.338016905,,
3869,12.31,129.197,90.434,1.39,52.383,0.264,2.382,2.58,0.191,0.321,106.55,249.14,0.182,2.702,7.127,2.182354674,3.975773982,0.444969079,,
3869.5,12.28,111.014,78.691,1.75,57.852,0.252,2.379,2.53,0.194,0.299,97.04,224.95,0.17,2.689,6.959,3.255443706,5.713693145,0.551921253,,
3870,12.24,82.604,59.987,2.89,62.831,0.226,2.367,2.49,0.201,0.249,86.17,192.73,0.162,2.681,6.64,4.135993113,7.09643684,0.658873427,,
3870.5,12.05,60.186,43.544,4.71,65.547,0.199,2.357,2.41,0.206,0.191,84.24,146.39,0.173,2.678,6.427,6.306256675,10.45090295,8.063884708,,
3871,12.08,53.725,38.511,7.33,68.359,0.201,2.34,2.3,0.216,0.184,87.03,143.25,0.185,2.676,6.296,8.447242105,13.66913049,15.46889599,,
3871.5,12.07,51.937,39.58,7.63,70.156,0.211,2.312,2.23,0.233,0.185,92.9,148.44,0.197,2.677,6.371,14.3495279,22.21315621,22.87390727,,
3872,12.09,49.878,36.441,6.52,71.544,0.223,2.285,2.2,0.249,0.193,94.79,160.56,0.207,2.679,6.507,23.85329012,35.36905102,30.27891855,,
3872.5,12.07,49.595,35.316,7.53,72.813,0.231,2.277,2.19,0.254,0.206,94.28,172.1,0.208,2.682,6.649,26.44162744,38.85951739,37.68392983,,
3873,12.05,51.359,38.324,8.17,73.75,0.233,2.281,2.18,0.251,0.214,93.04,177.51,0.203,2.694,6.779,20.67028446,31.01263213,30.2225298,,
3873.5,12.03,53.554,40.861,8.99,73.75,0.229,2.297,2.22,0.242,0.216,90.81,174.2,0.19,2.703,6.779,11.60569978,18.28213081,22.76112976,,
3874,12.02,55.744,43.423,8.94,73.164,0.217,2.321,2.33,0.228,0.206,88.59,175.24,0.175,2.711,6.819,5.092722731,8.601636879,15.29972973,,
3874.5,12.02,60.642,50.301,8.69,71.728,0.209,2.355,2.44,0.208,0.211,89.71,179.39,0.163,2.705,6.772,2.364741097,4.26364996,7.83832969,,
3875,12.07,67.269,57.368,9.88,69.922,0.207,2.373,2.48,0.197,0.216,91.94,178.15,0.167,2.701,6.69,2.078546425,3.792707661,0.376929655,,
3875.5,12.22,70.567,60.397,8.05,68.867,0.211,2.373,2.44,0.197,0.224,94.08,178.31,0.181,2.695,6.561,3.779594132,6.560824835,3.102899977,,
3876,12.2,62.168,53.334,6.42,69.596,0.212,2.36,2.38,0.205,0.22,94.37,176.71,0.194,2.693,6.406,7.509405617,12.29974201,5.828870299,,
3876.5,12.07,54.191,47.95,4.96,70,0.214,2.347,2.33,0.213,0.215,93.37,174.8,0.196,2.685,6.207,10.47350987,16.66274453,8.55484062,,
3877,12.06,50.333,45.346,5.06,70,0.218,2.332,2.31,0.221,0.214,93.71,174.21,0.186,2.68,6.038,9.684227712,15.48911989,11.28081094,,
3877.5,12.11,53.098,50.558,5.34,70,0.224,2.314,2.3,0.231,0.216,94.16,173.77,0.176,2.675,5.95,7.269134561,11.90150671,14.00678126,,
3878,12.2,52.632,52.031,8.44,69.522,0.234,2.297,2.31,0.242,0.226,94.08,175.16,0.181,2.684,6.014,7.380148595,12.08069551,11.23676767,,
3878.5,12.09,56.023,56.858,5.31,68.125,0.234,2.294,2.34,0.243,0.225,93.05,178.91,0.183,2.689,6.074,5.805204569,9.707217949,8.466754084,,
3879,12.07,61.418,62.171,4.26,65.703,0.233,2.308,2.37,0.235,0.23,92.68,181.17,0.183,2.694,5.998,4.577893099,7.816590872,5.696740494,,
3879.5,12.22,70.579,72.089,6.83,63.199,0.222,2.337,2.38,0.218,0.227,93.41,182.97,0.18,2.688,6.021,3.670609859,6.386882553,2.926726905,,
3880,12.32,74.485,73.84,12.78,59.883,0.216,2.354,2.35,0.208,0.223,94.54,184.84,0.165,2.687,6.118,2.019739118,3.693231489,0.156713315,,
3880.5,12.42,75.588,74.155,10.75,57.969,0.215,2.356,2.3,0.207,0.222,96.14,186.56,0.166,2.694,6.221,2.191210298,3.979761074,0.146748756,,
3881,12.39,74.721,71.633,7.92,56.581,0.214,2.351,2.26,0.21,0.217,96.45,189,0.165,2.704,6.286,2.011690569,3.679806523,0.136784197,,
3881.5,12.39,75.464,72.244,7.38,55,0.216,2.359,2.23,0.205,0.226,95.37,191.55,0.165,2.713,6.227,1.934929253,3.551528294,0.126819638,,
3882,12.39,77.388,73.116,5.77,54.57,0.206,2.371,2.23,0.198,0.212,93.91,189.8,0.164,2.704,6.312,1.783313872,3.296821762,0.116855079,,
3882.5,12.36,80.066,72.313,5.72,53.008,0.203,2.378,2.24,0.194,0.213,92.79,183.58,0.161,2.696,6.436,1.397486645,2.637385201,0.106890521,,
3883,12.3,82.767,73.238,6.12,51.641,0.196,2.383,2.25,0.191,0.201,92.67,180.01,0.152,2.687,6.672,0.985104022,1.913938668,0.105522341,,
3883.5,12.32,86.376,75.759,5.77,50.882,0.197,2.391,2.25,0.186,0.207,92.6,179.62,0.144,2.69,6.849,0.653867584,1.314358889,0.104154161,,
3884,12.33,87.645,76.249,5.27,50.078,0.192,2.4,2.26,0.181,0.201,92.27,181.93,0.138,2.692,6.847,0.470156747,0.97151771,0.102785982,,
3884.5,12.33,89.266,77.565,4.76,49.805,0.193,2.407,2.28,0.177,0.208,91.8,182.59,0.135,2.694,6.702,0.370183565,0.780620319,0.101417802,,
3885,12.34,85.422,73.928,4.5,49.669,0.191,2.412,2.3,0.174,0.206,91.29,180.33,0.134,2.693,6.395,0.321294439,0.685850557,0.100049622,,
3885.5,12.34,81.747,69.401,4.34,49.414,0.194,2.414,2.32,0.173,0.213,90.84,177.81,0.135,2.689,6.117,0.353528219,0.748523832,0.107830926,,
3886,12.32,75.164,63.133,4.94,49.102,0.19,2.412,2.33,0.174,0.204,90.4,175.84,0.137,2.683,6.003,0.412668506,0.862356116,0.11561223,,
3886.5,12.31,72.745,60.092,4.95,48.906,0.187,2.409,2.33,0.176,0.198,90.35,175.15,0.137,2.697,5.929,0.455997007,0.944567041,0.123393534,,
3887,12.33,70.208,56.828,6.27,48.32,0.186,2.41,2.31,0.175,0.196,90.65,174.35,0.136,2.712,5.965,0.49139004,1.010962006,0.131174839,,
3887.5,12.34,68.599,57.141,5.36,48.051,0.184,2.408,2.3,0.176,0.191,91.01,173.71,0.135,2.713,6.232,0.508653408,1.043047555,0.138956143,,
3888,12.35,68.585,56.746,4.12,47.656,0.186,2.409,2.31,0.176,0.195,91.34,173.81,0.139,2.695,6.564,0.597497406,1.208889951,0.118470742,,
3888.5,12.34,70.68,58.704,4.63,46.953,0.181,2.405,2.33,0.178,0.185,91.22,173.82,0.14,2.693,6.571,0.567051723,1.152859484,0.097985341,,
3889,12.33,72.793,59.506,5.04,46.324,0.174,2.416,2.34,0.172,0.177,90.79,174.7,0.136,2.693,6.402,0.4044347,0.846649672,0.07749994,,
3889.5,12.33,75.666,60.782,4.62,46.016,0.169,2.436,2.35,0.16,0.176,90.24,175.4,0.129,2.697,6.337,0.166099017,0.375176377,0.057014539,,
3890,12.33,80.614,63.684,4.08,45.43,0.164,2.459,2.39,0.147,0.179,89.72,174.39,0.119,2.699,6.322,0.05455921,0.135585258,0.036529138,,
3890.5,12.31,88.7,68.043,3.11,45.037,0.164,2.475,2.44,0.138,0.187,89.73,173.53,0.129,2.7,6.466,0.063787592,0.156776694,0.038771034,,
3891,12.33,96.038,77.72,2.71,44.844,0.171,2.479,2.49,0.135,0.2,90.48,174.59,0.14,2.701,6.572,0.085486447,0.205325978,0.041012931,,
3891.5,12.33,100.101,80.244,2.61,44.375,0.174,2.481,2.52,0.134,0.207,92.34,178.53,0.147,2.705,6.758,0.106475797,0.251256545,0.043254827,,
3892,12.32,106.437,86.753,2.45,44.375,0.182,2.475,2.57,0.137,0.217,93.84,184.81,0.149,2.714,6.749,0.124672009,0.290336114,0.045496723,,
3892.5,12.33,106.726,88.481,2.04,44.336,0.18,2.474,2.59,0.138,0.215,94.09,188.24,0.145,2.713,6.866,0.108146135,0.254732242,0.047738619,,
3893,12.31,108.202,86.315,1.9,43.934,0.178,2.476,2.58,0.137,0.211,93.28,188.66,0.144,2.703,7.044,0.101486881,0.240386982,0.047660368,,
3893.5,12.32,104.305,84.491,1.87,44.258,0.177,2.489,2.54,0.129,0.215,94.17,186.14,0.143,2.708,7.071,0.084005126,0.202221841,0.047582117,,
3894,12.31,103.255,81.851,1.95,44.609,0.183,2.488,2.51,0.13,0.223,95.07,188.67,0.141,2.71,7.095,0.069517591,0.170076687,0.047503866,,
3894.5,12.29,104.807,82.474,1.98,45.147,0.207,2.477,2.53,0.137,0.258,97.15,195.4,0.141,2.716,6.973,0.066518756,0.163372485,0.047425615,,
3895,12.29,107.585,83.17,1.78,45.625,0.219,2.454,2.54,0.15,0.271,98.69,200.55,0.144,2.717,6.993,0.080960258,0.195571631,0.047347364,,
3895.5,12.3,108.385,84.667,1.77,46.25,0.214,2.446,2.55,0.155,0.259,97.01,203.32,0.148,2.707,7.299,0.123062521,0.286787013,0.04584769,,
3896,12.3,101.392,79.034,2.13,47.422,0.19,2.449,2.54,0.153,0.221,92.09,191.86,0.143,2.706,7.601,0.123300952,0.286963872,0.044348016,,
3896.5,12.27,90.291,69.712,2.52,48.824,0.171,2.463,2.55,0.144,0.194,88.94,183.21,0.134,2.707,7.76,0.091592384,0.21828582,0.042848342,,
3897,12.27,80.357,62.407,2.8,50.703,0.164,2.477,2.56,0.136,0.187,88.36,172.87,0.124,2.71,7.894,0.062309951,0.153216918,0.041348669,,
3897.5,12.26,77.965,60.717,3.98,51.563,0.157,2.489,2.56,0.129,0.181,88.35,170.79,0.119,2.712,7.859,0.055444177,0.137589599,0.039848995,,
3898,12.27,77.432,61.654,4.12,53.008,0.159,2.489,2.55,0.13,0.184,90.16,172.92,0.128,2.712,7.778,0.111126657,0.260041156,0.068683939,,
3898.5,12.27,78.689,65.722,3.61,55.938,0.162,2.479,2.55,0.135,0.186,92.14,173.47,0.135,2.709,7.558,0.232903721,0.511567211,0.097518884,,
3899,12.24,77.226,67.332,3.19,57.941,0.175,2.465,2.56,0.143,0.203,93.21,172.46,0.144,2.707,7.314,0.546159794,1.115374387,0.126353828,,
3899.5,12.09,74.247,64.635,3.22,59.414,0.183,2.445,2.57,0.155,0.208,93.23,170.28,0.154,2.703,7.11,1.20766551,2.305179532,0.155188772,,
3900,12.09,70.865,63.107,4.91,61.289,0.192,2.423,2.53,0.168,0.214,92.28,168.76,0.166,2.696,7.025,2.467801221,4.434598112,0.184023716,,
3900.5,12.04,66.591,61.916,6.45,62.422,0.193,2.4,2.47,0.181,0.204,91.35,167.61,0.171,2.697,6.91,3.024714052,5.344225522,0.168859844,,
3901,12,65.893,62.149,5.4,63.088,0.197,2.391,2.44,0.187,0.207,91.25,167.04,0.169,2.697,7.005,2.828774985,5.026578363,0.153695972,,
3901.5,12.08,66.431,62.157,4.73,63.477,0.193,2.39,2.43,0.187,0.2,91.51,166.63,0.165,2.701,7.173,2.277350246,4.120545348,0.138532099,,
3902,12.09,67.595,61.604,5.27,63.75,0.197,2.392,2.45,0.186,0.207,92.2,166.27,0.164,2.702,7.233,2.096479936,3.82022521,0.123368227,,
3902.5,12.09,67.373,60.641,5.44,63.75,0.193,2.391,2.47,0.187,0.2,91.98,166.99,0.167,2.7,7.014,1.789761966,3.309024407,0.108204354,,
3903,12.08,68.8,63.139,5.71,63.75,0.196,2.387,2.48,0.189,0.203,92.09,169.25,0.166,2.692,6.586,1.07096422,2.070733931,0.088986938,,
3903.5,12.04,72.645,65.27,6.99,63.75,0.196,2.388,2.43,0.189,0.203,91.6,170.62,0.151,2.684,6.152,0.356165309,0.756441331,0.069769523,,
3904,12.08,78.242,70.399,9.29,64.102,0.193,2.404,2.32,0.179,0.207,90.41,170.62,0.131,2.681,5.942,0.087752449,0.209817512,0.050552107,,
3904.5,12.19,84.515,71.524,8.14,64.648,0.184,2.427,2.21,0.166,0.201,88.61,166.36,0.113,2.681,5.831,0.030270968,0.079114206,0.031334691,,
3905,12.23,84.347,71.813,8.17,65.257,0.174,2.44,2.15,0.158,0.189,86.48,159.99,0.108,2.683,5.89,0.028424901,0.074566929,0.012117275,,
3905.5,12.09,83.378,70.196,8.84,66.445,0.168,2.44,2.15,0.158,0.177,85.73,158.66,0.115,2.684,5.88,0.06529545,0.159539352,0.016731303,,
3906,12.11,83.752,67.591,11.71,67.031,0.16,2.451,2.17,0.152,0.168,85.35,157.84,0.116,2.683,5.888,0.076940846,0.185352068,0.021345332,,
3906.5,12.15,87.046,69.132,10.47,68.398,0.16,2.459,2.18,0.147,0.171,86.29,155.62,0.11,2.683,5.842,0.048770682,0.122080581,0.025959361,,
3907,12.16,89.953,72.34,8.6,69.706,0.166,2.457,2.19,0.148,0.182,87.28,154.5,0.102,2.68,5.749,0.026810551,0.070582781,0.03057339,,
3907.5,12.18,88.983,72.225,7.97,71.25,0.179,2.431,2.21,0.163,0.194,87.02,151.75,0.103,2.684,5.732,0.028904049,0.07559258,0.035187418,,
3908,12.13,84.878,72.111,10.51,73.594,0.182,2.416,2.26,0.172,0.191,86.71,151.25,0.12,2.68,5.83,0.152070946,0.345421131,1.602339835,,
3908.5,12.04,84.101,70.719,17.66,75.625,0.185,2.41,2.31,0.176,0.195,87.36,152.42,0.139,2.68,5.941,0.724343969,1.441614824,3.169492252,,
3909,11.96,80.045,66.169,21.5,77.148,0.195,2.399,2.34,0.182,0.207,88.14,151.15,0.15,2.676,5.92,1.811594343,3.333833103,4.736644668,,
3909.5,11.91,80.499,66.683,5.04,79.258,0.207,2.377,2.34,0.195,0.218,87.66,149.07,0.154,2.675,5.875,2.978052453,5.250572414,6.303797085,,
3910,11.85,75.166,64.627,5.54,81.406,0.206,2.37,2.35,0.199,0.214,85.34,148.19,0.158,2.687,5.744,3.930149761,6.7679491,7.870949502,,
3910.5,11.84,74.165,65.096,10.29,82.852,0.193,2.383,2.35,0.191,0.196,82.73,144.74,0.172,2.69,5.789,7.126119139,11.6810503,8.053085652,,
3911,11.83,69.122,62.195,8.83,84.338,0.184,2.392,2.35,0.186,0.183,80.99,140.31,0.186,2.677,6.009,10.01863756,15.97619611,8.235221802,,
3911.5,11.96,63.19,59.605,8.42,85.391,0.182,2.389,2.34,0.188,0.176,80.36,137.01,0.188,2.68,6.141,9.247464943,14.85603356,8.417357953,,
3912,11.88,57.498,56.225,9.01,87.07,0.181,2.385,2.32,0.19,0.172,79.58,134.69,0.178,2.68,6.138,6.241718969,10.36118304,8.599494103,,
3912.5,11.89,53.5,53.602,8.89,88.75,0.178,2.392,2.29,0.186,0.17,78.86,135.17,0.169,2.681,6.191,5.089446507,8.586570527,8.781630254,,
3913,11.92,54.047,53.191,17.34,89.853,0.172,2.392,2.27,0.186,0.157,79.21,136.21,0.163,2.684,6.369,4.324514811,7.392380892,7.067084253,,
3913.5,11.96,52.785,47.596,13.88,90.898,0.176,2.382,2.25,0.192,0.16,79.93,135.56,0.159,2.69,6.68,3.353323027,5.855818596,5.352538253,,
3914,11.98,58.975,53.02,12.15,91.602,0.173,2.381,2.3,0.192,0.152,81.18,136.23,0.154,2.694,6.852,2.472929681,4.431872227,3.637992252,,
3914.5,11.98,66.854,60.569,10.63,91.25,0.174,2.395,2.43,0.184,0.164,81.61,138.36,0.149,2.694,6.764,1.568033438,2.921846893,1.923446252,,
3915,11.96,79.292,69.6,10.05,90.919,0.174,2.408,2.56,0.177,0.171,82.36,140.65,0.147,2.687,6.696,1.019698989,1.972953602,0.208900251,,
3915.5,11.99,88.546,75.399,22.65,90.234,0.18,2.411,2.62,0.175,0.185,81.85,142.35,0.145,2.685,6.569,0.594926925,1.20613913,0.169529313,,
3916,12,96.701,82.432,19.06,89.449,0.182,2.423,2.58,0.168,0.195,81.68,144.98,0.134,2.694,6.45,0.263498527,0.572375549,0.130158376,,
3916.5,12.08,101.604,85.469,15.42,88.75,0.177,2.449,2.52,0.153,0.198,82.66,149.2,0.117,2.705,6.327,0.09295893,0.220308218,0.090787438,,
3917,12.18,104.258,86.565,15,88.516,0.172,2.482,2.46,0.134,0.204,83.73,155.59,0.101,2.704,6.242,0.03433823,0.088395821,0.0514165,,
3917.5,12.19,115.362,94.031,15.9,88.125,0.17,2.508,2.41,0.118,0.209,83.57,156.66,0.094,2.691,6.124,0.022867436,0.060864064,0.012045562,,
3918,12.22,122.084,97.552,12.3,88.198,0.163,2.527,2.35,0.107,0.204,83.11,154.3,0.104,2.688,5.971,0.084512361,0.201182128,2.665162607,,
3918.5,12.2,127.836,102.494,6.67,89.063,0.16,2.541,2.3,0.099,0.204,82.23,145.12,0.125,2.687,6.062,0.602361033,1.213840232,5.318279653,,
3919,12.18,116.705,97.402,5.37,90.117,0.16,2.521,2.26,0.111,0.197,82.01,138.81,0.144,2.688,5.854,2.888361659,5.095889448,7.971396699,,
3919.5,12.08,98.011,81.045,10.34,92.109,0.17,2.468,2.22,0.141,0.194,82.76,137.38,0.16,2.679,5.585,7.689541385,12.48785779,10.62451374,,
3920,11.97,76.759,63.531,12.69,94.375,0.183,2.397,2.16,0.183,0.184,82.72,137.19,0.178,2.667,5.328,15.29528717,23.46493474,13.27763079,,
3920.5,11.92,61.973,51.933,15.76,95.977,0.2,2.347,2.1,0.213,0.188,82.68,138.82,0.18,2.664,5.292,14.8377865,22.83248922,22.1891205,,
3921,11.99,56.748,48.944,11.06,97.461,0.211,2.326,2.09,0.225,0.196,82.46,142.14,0.18,2.671,5.368,16.62750299,25.33615416,31.1006102,,
3921.5,11.95,55.53,48.661,8.56,98.64,0.221,2.32,2.1,0.228,0.213,83.43,143.91,0.181,2.682,5.349,18.38776358,27.77141613,40.01209991,,
3922,11.95,54.409,47.648,9.55,99.609,0.222,2.316,2.12,0.23,0.212,84.13,144.36,0.186,2.682,5.354,23.7078333,35.04674741,48.92358961,,
3922.5,11.95,53.842,46.085,13.17,100.352,0.228,2.31,2.14,0.234,0.222,84.6,143.47,0.193,2.672,5.517,31.18592161,45.05844676,57.83507932,,
3923,11.96,51.917,44.55,25.81,101.367,0.228,2.301,2.16,0.239,0.215,84.11,142.55,0.195,2.671,5.619,32.55946919,46.88111041,54.15175445,,
3923.5,11.97,50.783,45.611,19.4,101.875,0.229,2.297,2.14,0.242,0.216,83.74,142.72,0.194,2.673,5.613,30.64345849,44.35073853,50.46842959,,
3924,11.97,49.391,46.009,12.01,101.836,0.225,2.303,2.12,0.238,0.212,83.14,142.55,0.193,2.67,5.522,28.61507671,41.65810466,46.78510473,,
3924.5,11.97,49.83,48.017,11.61,101.406,0.22,2.314,2.06,0.232,0.208,83.02,141.35,0.195,2.669,5.364,30.85235302,44.63406545,43.10177986,,
3925,11.98,47.862,48.154,9.64,101.25,0.222,2.31,2.06,0.234,0.209,83.11,140.83,0.201,2.681,5.153,44.95257993,62.9889414,39.418455,,
3925.5,11.97,45.588,45.98,8.89,101.133,0.226,2.3,2.07,0.24,0.212,83.73,140.83,0.209,2.679,5.204,63.85989176,86.85983746,71.60502437,,
3926,11.98,42.254,44.414,9.58,100.625,0.23,2.285,2.1,0.249,0.21,84.63,141.79,0.214,2.673,5.317,81.16749858,108.1816432,103.7915937,,
3926.5,11.96,39.734,43.463,11.54,100.625,0.235,2.276,2.08,0.254,0.213,85.24,142.43,0.216,2.668,5.634,97.15676033,127.4998489,135.9781631,,
3927,11.97,38.866,40.918,13.85,100.073,0.236,2.268,2.03,0.258,0.211,82.93,142.69,0.215,2.671,5.818,110.7989126,143.7093003,168.1647325,,
3927.5,11.97,36.256,39.205,8.52,99.453,0.231,2.271,1.98,0.257,0.201,80.91,142.38,0.211,2.672,5.949,115.5987678,149.2827763,200.3513018,,
3928,11.97,36.663,40.319,4.59,98.516,0.221,2.28,1.95,0.252,0.185,79.36,139.21,0.211,2.674,5.973,136.714226,173.9368307,170.0371854,,
3928.5,11.93,36.372,39.055,6.67,97.573,0.214,2.288,1.97,0.247,0.176,79.32,136.12,0.202,2.678,6.091,135.5865904,172.4039312,139.723069,,
3929,11.91,35.918,34.967,11.71,96.25,0.214,2.294,2.01,0.243,0.179,79.95,135.32,0.194,2.681,6.263,101.2270051,131.8653189,109.4089526,,
3929.5,11.92,35.741,32.515,16.77,94.844,0.224,2.294,2.06,0.243,0.203,80.13,136.52,0.19,2.681,6.308,67.62920371,91.23267607,79.09483616,,
3930,11.93,38.896,32.864,20.54,93.603,0.226,2.292,2.1,0.244,0.207,80.75,141.94,0.187,2.68,6.223,25.50565153,37.46946422,48.78071974,,
3930.5,11.93,48.421,38.862,10.55,91.641,0.218,2.305,2.17,0.237,0.198,83.98,150.37,0.186,2.676,5.926,12.96983325,20.21785979,39.84122896,,
3931,11.95,68.976,53.909,9.05,90.117,0.199,2.356,2.28,0.207,0.191,85.59,153.97,0.185,2.674,5.67,8.612038307,13.91465399,30.90173817,,
3931.5,12.03,80.571,60.686,6.61,87.852,0.194,2.411,2.34,0.175,0.211,84.42,155.92,0.18,2.678,5.375,6.928972034,11.40106271,21.96224739,,
3932,12.16,78.583,59.115,13.2,86.544,0.195,2.437,2.3,0.16,0.225,81.11,148.17,0.168,2.675,5.398,4.649847377,7.905931285,13.02275661,,
3932.5,12.02,63.915,49.237,9.32,85.039,0.183,2.418,2.15,0.171,0.195,77.69,139.26,0.149,2.67,5.607,1.8983939,3.47843632,4.083265823,,
3933,12.07,58.317,44.44,10.93,82.07,0.165,2.409,2.05,0.176,0.154,77.01,135.9,0.132,2.674,6.051,0.51223082,1.048947724,3.27438064,,
3933.5,12.07,66.562,50.452,10.69,80.073,0.152,2.436,2.06,0.16,0.145,77.55,135.86,0.119,2.683,6.462,0.149547635,0.340189942,2.465495457,,
3934,12.15,76.868,60.544,10.56,76.875,0.143,2.47,2.18,0.14,0.145,78.42,140.2,0.115,2.691,6.717,0.0581729,0.143588115,1.656610273,,
3934.5,12.15,92.427,73.748,8.67,73.047,0.135,2.512,2.33,0.116,0.152,80.27,151.71,0.117,2.698,6.677,0.035423084,0.09138747,0.84772509,,
3935,12.23,109.367,88.236,8.24,71.914,0.135,2.55,2.48,0.094,0.166,81.06,155.25,0.119,2.703,6.721,0.029424524,0.077204801,0.038839907,,
3935.5,12.35,122.824,99.34,9.05,70.039,0.156,2.591,2.58,0.07,0.209,81.62,156.74,0.13,2.705,6.714,0.092319135,0.219697305,0.039202373,,
3936,12.36,125.931,105.933,8.03,68.516,0.171,2.604,2.63,0.062,0.234,81.47,155.49,0.134,2.697,6.698,0.236579246,0.518925112,0.03956484,,
3936.5,12.34,119.084,100.114,6.28,68.125,0.178,2.591,2.63,0.07,0.242,80.78,147.01,0.132,2.686,6.7,0.326190258,0.695026207,0.039927306,,
3937,12.28,106.72,87.297,5.43,68.235,0.164,2.564,2.58,0.086,0.216,80.12,141.95,0.125,2.684,6.725,0.270653356,0.585014701,0.040289772,,
3937.5,12.28,95.118,76.713,7.76,68.516,0.16,2.518,2.51,0.112,0.196,79.64,137.48,0.116,2.697,6.902,0.168798714,0.379483134,0.040652239,,
3938,12.12,89.646,71.419,8.88,67.891,0.154,2.487,2.43,0.131,0.174,79.08,136.04,0.108,2.725,7.352,0.101296145,0.237549395,0.035205165,,
3938.5,12.12,91.624,70.688,19.39,67.5,0.155,2.474,2.45,0.138,0.17,78.08,136.91,0.103,2.749,8.329,0.078508132,0.188043852,0.029758092,,
3939,12.14,90.815,71.469,13.42,67.5,0.147,2.499,2.6,0.123,0.167,76.86,136.27,0.096,2.772,9.418,0.038324271,0.097542691,0.024311018,,
3939.5,12.17,85.865,65.145,7.58,67.266,0.141,2.535,2.91,0.102,0.171,75.36,136.64,0.087,2.782,9.863,0.011110418,0.031428854,0.018863944,,
3940,12.13,83.378,61.874,8.24,66.484,0.14,2.591,3.16,0.07,0.185,74.59,136.26,0.078,2.77,9.269,0.002838837,0.009025466,0.013416871,,
3940.5,12.24,86.346,63.595,9.12,65.43,0.135,2.629,3.16,0.047,0.185,74.9,135.5,0.075,2.747,8.072,0.001273316,0.004336538,0.012706464,,
3941,12.26,92.077,69.484,7.45,64.154,0.13,2.641,2.9,0.04,0.179,75.5,135.81,0.075,2.72,7.441,0.001029274,0.003571636,0.011996056,,
3941.5,12.31,97.552,69.942,7.29,62.969,0.114,2.624,2.68,0.05,0.153,76,137.28,0.074,2.718,7.479,0.000889618,0.003125474,0.011285649,,
3942,12.29,103.334,75.01,7.68,62.227,0.115,2.618,2.66,0.054,0.154,76.03,139.91,0.072,2.726,7.96,0.000745107,0.002656476,0.010575242,,
3942.5,12.3,107.429,80.108,8.45,61.875,0.111,2.632,2.8,0.046,0.149,76,141.06,0.074,2.742,8.127,0.000953432,0.003329318,0.009864835,,
3943,12.3,109.515,82.868,6.93,61.836,0.112,2.636,2.93,0.044,0.152,75.67,141.28,0.088,2.744,7.955,0.00474027,0.014458072,0.01054584,,
3943.5,12.31,107.455,83.707,6.93,61.875,0.113,2.628,2.98,0.048,0.153,76.48,140.36,0.092,2.733,7.582,0.00841852,0.024456947,0.011226845,,
3944,12.32,107.902,87.322,6.21,62.109,0.128,2.601,2.94,0.064,0.17,78.13,140.58,0.094,2.715,7.087,0.008989201,0.025973884,0.01190785,,
3944.5,12.34,108.748,88.033,6.42,62.656,0.135,2.585,2.8,0.073,0.177,79.49,141.37,0.097,2.702,6.747,0.010105957,0.028931797,0.012588855,,
3945,12.29,106.881,88.993,8.58,63.906,0.141,2.56,2.63,0.088,0.18,80.27,143.56,0.1,2.699,6.508,0.013051034,0.036569099,0.01326986,,
3945.5,12.28,104.442,89.474,8.04,65.11,0.146,2.544,2.51,0.097,0.182,81.5,145.92,0.106,2.707,6.451,0.027135814,0.07143186,0.160890725,,
