DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE
4455.5,8.01,0.06,76.2,127.13,0.231,2.94,0.169,2.91,1.55,2.607,102.5,0.001783404
4456,7.97,0.055,74.46,131.91,0.192,2.94,0.141,3.01,1.566,2.616,102.87,0.001642185
4456.5,7.97,0.059,72.14,117.68,0.146,2.94,0.111,3.05,1.581,2.61,103.36,0.001454788
4457,7.96,0.079,71.72,98.77,0.126,2.94,0.105,2.96,1.547,2.575,103.75,0.001099807
4457.5,7.97,0.094,71.71,92.85,0.137,2.94,0.117,2.92,1.515,2.549,103.63,0.001176083
4458,7.95,0.1,70.79,102.93,0.152,2.94,0.129,2.81,1.494,2.538,103.53,0.00150165
4458.5,7.9,0.101,72.58,101.04,0.153,2.94,0.13,2.75,1.454,2.537,103.63,0.001555107
4459,7.91,0.105,73.29,111.5,0.155,2.94,0.132,2.57,1.404,2.53,103.42,0.001663728
4459.5,7.93,0.107,73.25,107.47,0.167,2.94,0.14,2.48,1.402,2.527,102.93,0.001942302
4460,7.93,0.102,73.21,111.25,0.168,2.94,0.139,2.64,1.434,2.536,102.79,0.002076457
4460.5,7.92,0.09,73.73,112.38,0.165,2.94,0.133,2.78,1.453,2.557,102.5,0.002051293
4461,7.91,0.077,73.93,114.4,0.196,2.94,0.149,2.83,1.469,2.579,101.99,0.002314004
4461.5,7.9,0.066,74.32,136.95,0.227,3.1,0.167,2.9,1.485,2.596,101.8,0.001754711
4462,7.88,0.06,75.19,137.96,0.215,3.16,0.158,2.99,1.493,2.607,101.8,0.001677158
4462.5,7.9,0.069,74.86,136.2,0.216,3.19,0.16,2.93,1.456,2.592,101.87,0.001806795
4463,7.91,0.082,74.33,119.19,0.211,3.18,0.16,2.89,1.421,2.57,101.87,0.002296998
4463.5,7.93,0.097,73.73,120.51,0.188,3.13,0.15,2.86,1.394,2.543,101.36,0.002589314
4464,7.92,0.097,72.95,103.69,0.183,3.05,0.146,2.85,1.387,2.544,101.25,0.002550474
4464.5,7.91,0.093,73.09,115.6,0.177,2.98,0.141,2.88,1.378,2.552,100.96,0.00255051
4465,7.88,0.085,73.56,120.7,0.18,2.92,0.141,2.83,1.368,2.564,100.7,0.002573812
4465.5,7.95,0.082,73.76,104,0.213,2.96,0.161,2.99,1.377,2.57,100.63,0.00312228
4466,7.97,0.083,74.36,128.64,0.193,3.12,0.149,3.01,1.386,2.568,100,0.002687826
4466.5,7.97,0.072,74.48,115.78,0.165,3.31,0.127,3.15,1.389,2.587,100,0.00201787
4467,7.95,0.058,74.07,120.38,0.169,3.54,0.126,3.17,1.407,2.612,100,0.00168311
4467.5,8.02,0.039,74.47,125.99,0.169,3.68,0.123,3.21,1.441,2.643,100.18,0.001359084
4468,8.01,0.039,73.57,114.27,0.202,3.48,0.145,3.97,1.493,2.643,100,0.001829267
4468.5,7.97,0.084,74.11,112.95,0.192,3.28,0.148,3.06,1.339,2.566,100.04,0.002513097
4469,8.18,0.13,76.73,122.59,0.204,3.24,0.171,2.43,1.229,2.489,100.44,0.004372146
4469.5,7.99,0.16,75.26,104.51,0.221,3.2,0.193,2.43,1.192,2.436,100.63,0.0388459
4470,7.96,0.163,73.77,108.23,0.214,3.15,0.19,2.96,1.253,2.432,100.59,0.176414534
4470.5,8.03,0.138,71.02,103.31,0.183,3.08,0.162,3.66,1.43,2.474,100.63,0.017560272
4471,7.86,0.117,66.18,98.33,0.18,3.02,0.152,6.25,1.666,2.509,100.66,0.219552591
4471.5,7.77,0.084,62.25,84.41,0.138,3.02,0.114,6.15,1.488,2.566,100.94,0.003166606
4472,7.61,0.07,59.67,75.78,0.117,3.1,0.096,4.73,1.623,2.59,100.9,0.000752218
4472.5,7.61,0.051,57.85,73.83,0.072,3.14,0.062,3.64,1.622,2.623,100.63,0.00019806
4473,7.61,0.041,59.57,71.94,0.095,3.18,0.073,3.41,1.499,2.639,100.66,0.000321564
4473.5,7.78,0.043,67.92,82.33,0.116,3.21,0.087,3.86,1.488,2.636,100.74,0.001339506
4474,7.93,0.067,70.16,88.57,0.079,3.23,0.073,3.93,1.459,2.596,100.37,0.00039657
4474.5,7.89,0.085,71.55,100.85,0.21,3.25,0.16,3.9,1.44,2.564,100.31,0.003883768
4475,7.93,0.093,72.53,95.37,0.304,3.25,0.225,3.34,1.339,2.551,100.63,0.003288148
4475.5,7.95,0.094,70.89,123.28,0.211,3.21,0.163,3.17,1.267,2.549,100.63,0.003039421
4476,8.1,0.089,71.32,121.08,0.218,3.16,0.167,3,1.191,2.558,100.7,0.002626777
4476.5,8.16,0.088,73.14,81.64,0.177,3.1,0.14,2.91,1.177,2.56,100.77,0.00242456
4477,7.79,0.124,75.29,86.68,0.141,3.03,0.133,3.05,1.196,2.498,100.74,0.001288684
4477.5,7.74,0.192,72.7,87.81,0.128,2.96,0.163,2.68,1.177,2.382,101.13,0.000397561
4478,8.12,0.254,69.71,87.18,0.198,2.9,0.228,2.62,1.135,2.275,100.63,0.154862061
4478.5,8.21,0.234,74.56,75.72,0.201,2.83,0.218,2.64,1.099,2.31,100.66,0.579254091
4479,8.24,0.157,76.15,92.66,0.231,2.8,0.197,2.63,1.006,2.442,100.7,0.677778006
4479.5,8.31,0.11,78.52,93.1,0.277,2.82,0.211,2.38,0.897,2.523,100.63,0.003763831
4480,8.72,0.122,78.5,108.16,0.245,2.96,0.194,2.47,0.931,2.501,100.63,0.01013109
