DEPT,CAL_N,DPHI_N,DTC_N,SGR_N,NPHI_N,PE_N,POR_N,RESDEEP_N,RESSHAL_N,RHOB_N,SP_N,K_SDR_N_PRE
2596.5,10.13,0.203,117.85,97.26,0.374,-999.25,0.301,1.82,0.564,-999.25,101.32,
2597,9.9,0.202,116.9,98.4,0.366,-999.25,0.296,1.81,0.569,-999.25,101.44,
2597.5,9.64,0.206,116.19,101.04,0.393,-999.25,0.314,1.83,0.57,-999.25,101.47,
2598,9.65,0.206,116.68,91.21,0.409,-999.25,0.324,1.8,0.564,-999.25,101.52,
2598.5,9.78,0.204,117.26,103.5,0.426,-999.25,0.334,1.78,0.563,-999.25,101.25,
2599,9.5,0.21,116.53,96.88,0.481,-999.25,0.371,1.81,0.561,-999.25,101.33,
2599.5,9.81,0.21,118.02,89.7,0.437,-999.25,0.343,1.82,0.57,-999.25,101.6,
2600,9.75,0.211,117.81,98.77,0.386,-999.25,0.311,1.87,0.572,-999.25,101.84,
2600.5,9.36,0.21,116.11,104.07,0.415,-999.25,0.329,1.81,0.571,-999.25,101.6,
2601,9.28,0.218,117.35,108.98,0.427,-999.25,0.339,1.86,0.564,-999.25,101.41,
2601.5,9.75,0.221,117.28,104.07,0.409,-999.25,0.329,1.65,0.549,-999.25,101.65,
2602,10.04,0.22,115.58,109.74,0.39,-999.25,0.317,1.71,0.554,-999.25,101.48,
2602.5,9.88,0.208,117.63,104.07,0.406,-999.25,0.323,1.93,0.579,-999.25,101.87,
2603,9.51,0.188,115.34,107.85,0.423,-999.25,0.327,1.84,0.586,-999.25,101.58,
2603.5,9.2,0.187,115.54,97.26,0.347,-999.25,0.279,1.95,0.589,-999.25,101.76,
2604,9.3,0.199,112.97,100.22,0.352,-999.25,0.286,1.94,0.577,-999.25,101.8,
2604.5,9.39,0.208,115.82,102.93,0.379,-999.25,0.306,1.81,0.572,-999.25,101.87,
2605,9.41,0.193,118.73,108.6,0.416,-999.25,0.324,1.71,0.564,-999.25,101.87,
2605.5,9.55,0.191,117.28,103.81,0.397,-999.25,0.312,1.73,0.557,-999.25,101.95,
2606,9.49,0.195,116.93,92.35,0.418,-999.25,0.326,1.73,0.562,-999.25,101.87,
2606.5,9.35,0.222,114.32,94.99,0.416,-999.25,0.333,1.8,0.564,-999.25,101.87,
2607,9.25,0.229,118.88,108.98,0.395,-999.25,0.323,1.72,0.549,-999.25,101.87,
2607.5,9.62,0.244,117.35,101.04,0.404,-999.25,0.334,1.5,0.53,-999.25,101.87,
2608,9.59,0.245,117.67,100.66,0.383,-999.25,0.321,1.68,0.548,-999.25,101.87,
2608.5,9.16,0.241,120.28,82.14,0.385,-999.25,0.321,1.83,0.571,-999.25,101.87,
2609,9.53,0.245,115.68,90.84,0.403,-999.25,0.333,1.74,0.554,-999.25,101.87,
2609.5,9.3,0.241,117.81,92.35,0.417,-999.25,0.341,1.69,0.545,-999.25,101.87,
2610,9.26,0.252,117.52,111.69,0.398,-999.25,0.333,1.73,0.557,-999.25,101.87,
2610.5,9.16,0.243,117.61,91.97,0.411,-999.25,0.338,1.81,0.57,-999.25,102.03,
2611,8.9,0.238,117.83,93.48,0.417,-999.25,0.34,1.74,0.558,-999.25,102.07,
2611.5,9.49,0.219,116.92,103.31,0.447,-999.25,0.352,1.63,0.549,-999.25,102.32,
2612,9.29,0.225,119.6,107.47,0.427,-999.25,0.341,1.71,0.567,-999.25,102.62,
2612.5,9.39,0.223,118.7,93.86,0.34,-999.25,0.288,1.75,0.578,-999.25,102.5,
2613,9.51,0.224,117.8,98.59,0.324,-999.25,0.279,1.69,0.572,-999.25,102.5,
2613.5,9.33,0.205,120.3,103.31,0.347,-999.25,0.285,1.71,0.571,-999.25,102.5,
2614,9.66,0.198,119.56,102.56,0.348,-999.25,0.283,1.73,0.572,-999.25,102.5,
2614.5,9.58,0.195,117.45,102.18,0.382,-999.25,0.303,1.73,0.572,-999.25,102.46,
2615,9.52,0.201,121.35,101.04,0.403,-999.25,0.318,1.62,0.57,-999.25,102.5,
2615.5,9.33,0.199,120.77,107.85,0.432,-999.25,0.336,1.58,0.566,-999.25,102.5,
2616,9.67,0.19,116.61,104,0.38,-999.25,0.3,1.58,0.569,-999.25,102.5,
2616.5,9.17,0.182,116.2,97.64,0.37,-999.25,0.292,1.55,0.573,-999.25,102.5,
2617,9.27,0.187,117.23,105.96,0.425,-999.25,0.328,1.52,0.569,-999.25,102.5,
2617.5,9.22,0.202,116.84,94.14,0.413,-999.25,0.325,1.48,0.563,-999.25,102.5,
2618,9.25,0.213,121.67,100.92,0.437,-999.25,0.344,1.45,0.559,-999.25,102.54,
2618.5,9.24,0.222,121.81,99.91,0.473,-999.25,0.369,1.39,0.549,-999.25,102.57,
2619,9.45,0.225,121.89,103.31,0.474,-999.25,0.371,1.37,0.546,-999.25,102.5,
2619.5,9.31,0.227,122.15,91.59,0.457,-999.25,0.361,1.42,0.548,-999.25,102.89,
2620,9.44,0.233,121.15,99.53,0.426,-999.25,0.343,1.43,0.55,-999.25,102.89,
2620.5,9.24,0.23,122.12,93.54,0.438,-999.25,0.35,1.49,0.555,-999.25,102.57,
2621,9.31,0.23,122.48,99.15,0.417,-999.25,0.337,1.38,0.541,-999.25,103.01,
2621.5,9.63,0.225,122.38,88.57,0.413,-999.25,0.333,1.34,0.529,-999.25,102.76,
2622,9.57,0.232,123.82,94.99,0.379,-999.25,0.314,1.4,0.529,-999.25,102.7,
2622.5,9.41,0.236,123.72,90.08,0.36,-999.25,0.304,1.48,0.54,-999.25,102.5,
2623,9.29,0.239,123.45,93.48,0.399,-999.25,0.329,1.56,0.548,-999.25,102.5,
2623.5,9.14,0.24,122.65,101.42,0.394,-999.25,0.326,1.5,0.542,-999.25,102.5,
2624,9.43,0.245,123.41,100.29,0.39,-999.25,0.326,1.59,0.534,-999.25,102.5,
2624.5,9.35,0.256,121.15,96.88,0.447,-999.25,0.364,1.58,0.537,-999.25,102.5,
2625,9.77,0.262,117.9,89.32,0.405,-999.25,0.341,1.54,0.544,-999.25,102.5,
2625.5,9.18,0.26,119.66,90.08,0.368,-999.25,0.319,1.59,0.528,-999.25,102.5,
2626,9.68,0.253,119.43,84.47,0.444,-999.25,0.361,1.56,0.506,-999.25,102.61,
2626.5,9.71,0.243,119.72,84.41,0.406,-999.25,0.335,1.61,0.525,-999.25,102.5,
2627,9.54,0.235,122.38,95.75,0.413,-999.25,0.336,1.63,0.541,-999.25,102.54,
2627.5,9.76,0.23,122.21,104.07,0.409,-999.25,0.332,1.53,0.534,-999.25,102.66,
2628,9.41,0.229,123.81,101.8,0.422,-999.25,0.34,1.49,0.531,-999.25,102.66,
2628.5,9.59,0.232,123.13,89.32,0.396,-999.25,0.325,1.46,0.532,-999.25,102.85,
2629,9.76,0.23,123.72,93.1,0.381,-999.25,0.315,1.46,0.537,-999.25,102.87,
2629.5,9.51,0.23,122.9,94.99,0.375,-999.25,0.311,1.43,0.534,-999.25,102.5,
2630,9.63,0.223,120.19,95.75,0.375,-999.25,0.309,1.43,0.532,-999.25,102.5,
2630.5,9.75,0.215,119.5,92.54,0.384,-999.25,0.311,1.42,0.529,-999.25,102.5,
2631,9.65,0.207,119.39,98.27,0.345,-999.25,0.284,1.4,0.532,-999.25,102.5,
2631.5,9.55,0.229,120.36,102.56,0.332,-999.25,0.285,1.41,0.528,-999.25,102.5,
2632,9.67,0.261,119,99.91,0.378,-999.25,0.325,1.42,0.527,-999.25,102.5,
2632.5,9.68,0.275,121.21,93.48,0.398,-999.25,0.342,1.47,0.528,-999.25,102.11,
2633,9.7,0.266,120.96,82.9,0.39,-999.25,0.334,1.45,0.522,-999.25,102.46,
2633.5,10,0.226,120.12,85.54,0.429,-999.25,0.343,1.43,0.522,-999.25,102.5,
2634,10.15,0.208,115.76,92.73,0.515,-999.25,0.393,1.77,0.553,-999.25,102.13,
2634.5,8.78,0.189,117.03,76.09,0.515,-999.25,0.388,2.38,0.583,-999.25,102.31,
2635,8.8,0.204,116.92,79.87,0.517,-999.25,0.393,1.83,0.543,-999.25,102.5,
2635.5,9.47,0.21,117.76,101.55,0.397,-999.25,0.318,1.77,0.52,-999.25,102.5,
2636,9.88,0.226,122.21,92.16,0.446,-999.25,0.354,1.74,0.506,-999.25,102.5,
2636.5,9.83,0.24,122.12,103.69,0.427,-999.25,0.346,1.61,0.501,-999.25,102.5,
2637,9.8,0.259,124.6,98.77,0.422,-999.25,0.35,1.52,0.498,-999.25,102.23,
2637.5,9.68,0.268,123,97.64,0.446,-999.25,0.368,1.51,0.493,-999.25,102.34,
2638,9.88,0.295,122.53,88.95,0.401,-999.25,0.352,1.56,0.519,-999.25,102.5,
2638.5,9.73,0.319,122.55,87.43,0.428,-999.25,0.377,1.73,0.53,-999.25,102.5,
2639,9.77,0.328,119.07,94.99,0.499,-999.25,0.422,1.59,0.54,-999.25,102.5,
2639.5,9.83,0.299,122.03,92.73,0.458,-999.25,0.387,1.63,0.536,-999.25,102.5,
2640,9.64,0.266,121.77,107.09,0.422,-999.25,0.353,1.57,0.541,-999.25,102.61,
2640.5,9.59,0.25,120,83.28,0.431,-999.25,0.352,1.61,0.555,-999.25,102.5,
2641,8.86,0.248,119.28,88.95,0.473,-999.25,0.378,1.53,0.551,-999.25,103.09,
2641.5,9.43,0.25,120.2,97.26,0.399,-999.25,0.333,1.41,0.544,-999.25,102.7,
2642,9.7,0.253,121.45,90.08,0.408,-999.25,0.339,1.42,0.553,-999.25,102.73,
2642.5,9.39,0.252,122.58,97.89,0.402,-999.25,0.335,1.44,0.555,-999.25,102.61,
2643,9.61,0.249,121.06,94.24,0.385,-999.25,0.324,1.46,0.561,-999.25,102.5,
2643.5,9.74,0.237,121.05,106.71,0.363,-999.25,0.307,1.53,0.565,-999.25,102.5,
2644,9.19,0.235,121.11,91.97,0.476,-999.25,0.375,1.46,0.556,-999.25,102.32,
2644.5,9.44,0.239,120.29,100.66,0.43,-999.25,0.348,1.46,0.548,-999.25,102.38,
2645,9.62,0.255,121.52,91.97,0.38,-999.25,0.324,1.41,0.54,-999.25,102.27,
2645.5,9.27,0.259,121.36,85.92,0.407,-999.25,0.341,1.47,0.536,-999.25,102.31,
2646,9.28,0.259,122.55,104.82,0.402,-999.25,0.338,1.42,0.53,-999.25,102.5,
2646.5,9.27,0.256,121.82,90.02,0.393,-999.25,0.332,1.34,0.515,-999.25,102.5,
2647,9.29,0.252,122.13,93.77,0.468,-999.25,0.376,1.3,0.508,-999.25,102.72,
2647.5,9.8,0.265,123.63,94.24,0.433,-999.25,0.359,1.3,0.507,-999.25,102.5,
2648,10.11,0.277,123.77,89.7,0.477,-999.25,0.39,1.47,0.512,-999.25,102.5,
2648.5,9.8,0.293,123.49,93.92,0.421,-999.25,0.363,1.67,0.522,-999.25,102.5,
2649,9.63,0.29,122.87,83.65,0.417,-999.25,0.359,1.59,0.517,-999.25,102.5,
2649.5,9.35,0.289,123.28,105.58,0.43,-999.25,0.366,1.51,0.507,-999.25,103.01,
2650,10.12,0.279,123.84,83.65,0.436,-999.25,0.366,1.61,0.512,-999.25,102.89,
2650.5,10.06,0.243,119.59,85.17,0.488,-999.25,0.385,1.83,0.53,-999.25,102.72,
2651,8.87,0.21,122.61,88.19,0.398,-999.25,0.318,2.36,0.563,-999.25,102.85,
2651.5,8.65,0.194,120.48,94.24,0.437,-999.25,0.338,2.09,0.529,-999.25,102.7,
2652,9.97,0.231,118.71,90.46,0.425,-999.25,0.342,1.75,0.521,-999.25,102.5,
2652.5,10.07,0.283,124.51,94.99,0.457,-999.25,0.38,1.72,0.521,-999.25,102.5,
2653,9.92,0.326,121.73,84.79,0.399,-999.25,0.364,1.66,0.52,-999.25,102.5,
2653.5,9.19,0.354,119.09,87.81,0.376,-999.25,0.365,1.6,0.525,-999.25,102.5,
2654,9.46,0.358,122.01,94.24,0.464,-999.25,0.414,1.64,0.526,-999.25,102.5,
2654.5,9.67,0.359,122.31,96.51,0.5,-999.25,0.435,1.7,0.519,-999.25,102.5,
2655,9.95,0.33,122.41,94.43,0.418,-999.25,0.377,1.87,0.533,-999.25,102.5,
2655.5,10.06,0.302,123.12,98.77,0.399,-999.25,0.354,2.05,0.558,-999.25,102.5,
2656,9.86,0.271,122.14,101.8,0.368,-999.25,0.323,2.48,0.59,-999.25,102.06,
2656.5,9.19,0.26,122.22,95.75,0.375,-999.25,0.323,2.22,0.57,-999.25,102.19,
2657,9.3,0.256,121.76,111.25,0.386,-999.25,0.328,2.06,0.542,-999.25,102.46,
2657.5,9.3,0.251,121.71,94.99,0.42,-999.25,0.346,1.97,0.543,-999.25,102.5,
2658,9.42,0.245,122.4,102.56,0.426,-999.25,0.347,1.98,0.554,-999.25,102.27,
2658.5,9.26,0.249,120.53,98.4,0.393,-999.25,0.329,1.99,0.55,-999.25,102.1,
2659,9.18,0.263,122.99,94.24,0.37,-999.25,0.321,2.02,0.555,-999.25,102.23,
2659.5,9.8,0.272,123.1,97.07,0.414,-999.25,0.35,1.6,0.531,-999.25,102.27,
2660,10.23,0.271,122.16,92.73,0.439,-999.25,0.365,1.58,0.532,-999.25,102.5,
2660.5,9.35,0.275,124.16,94.99,0.433,-999.25,0.363,1.72,0.558,-999.25,102.31,
2661,9.59,0.287,119.94,93.48,0.445,-999.25,0.374,1.67,0.565,-999.25,102.13,
2661.5,9.72,0.288,121.02,93.86,0.416,-999.25,0.358,1.66,0.583,-999.25,102.19,
2662,9.17,0.282,120.18,102.56,0.408,-999.25,0.351,1.78,0.607,-999.25,102.38,
2662.5,8.95,0.27,121.21,93.48,0.415,-999.25,0.35,1.71,0.61,-999.25,102.5,
2663,9.13,0.257,120.98,100.66,0.464,-999.25,0.375,1.68,0.614,-999.25,102.46,
2663.5,9.05,0.224,119.04,114.4,0.482,-999.25,0.376,1.72,0.633,-999.25,102.11,
2664,8.79,0.206,117.55,102.55,0.404,-999.25,0.321,1.76,0.64,-999.25,101.87,
2664.5,9.22,0.212,117.28,110.87,0.392,-999.25,0.315,1.73,0.624,-999.25,102.34,
2665,9.22,0.236,118.79,116.16,0.435,-999.25,0.35,1.73,0.618,-999.25,102.5,
2665.5,9.25,0.241,119.72,112.38,0.436,-999.25,0.352,1.79,0.622,-999.25,102.23,
2666,8.81,0.24,120.31,97.26,0.397,-999.25,0.328,1.83,0.621,-999.25,102.23,
2666.5,9.31,0.234,119.07,106.71,0.345,-999.25,0.295,1.83,0.613,-999.25,101.87,
2667,9.56,0.237,120.51,98.02,0.364,-999.25,0.307,1.82,0.616,-999.25,101.87,
2667.5,9.46,0.24,120.6,107.03,0.388,-999.25,0.323,1.81,0.615,-999.25,102.15,
2668,9.6,0.243,119.92,98.02,0.369,-999.25,0.312,1.81,0.612,-999.25,102.31,
2668.5,9.35,0.246,120.23,104.07,0.412,-999.25,0.339,1.76,0.606,-999.25,101.95,
2669,9.28,0.242,120.25,107.09,0.457,-999.25,0.366,1.74,0.604,-999.25,101.87,
2669.5,9.42,0.242,120.29,99.84,0.426,-999.25,0.346,1.75,0.605,-999.25,101.87,
2670,9.22,0.238,119.86,125.61,0.389,-999.25,0.322,1.78,0.609,-999.25,102.03,
2670.5,9.25,0.241,120.08,112.76,0.376,-999.25,0.316,1.76,0.617,-999.25,101.99,
2671,9.46,0.246,119.72,112,0.379,-999.25,0.319,1.93,0.609,-999.25,101.87,
2671.5,8.99,0.248,119.56,98.02,0.372,-999.25,0.316,1.77,0.599,-999.25,101.72,
2672,9.17,0.237,119.51,102.18,0.402,-999.25,0.33,1.69,0.592,-999.25,101.87,
2672.5,9.19,0.238,119.24,100.98,0.46,-999.25,0.366,1.75,0.587,-999.25,102.19,
2673,9.18,0.248,119.78,105.58,0.416,-999.25,0.342,1.68,0.566,-999.25,102.5,
2673.5,9.84,0.266,119.38,95.75,0.448,-999.25,0.368,1.67,0.553,-999.25,101.95,
2674,9.69,0.264,118.89,97.26,0.424,-999.25,0.353,1.74,0.563,-999.25,101.87,
2674.5,9.98,0.251,118.18,107.09,0.408,-999.25,0.339,1.72,0.572,-999.25,101.87,
2675,9.65,0.235,118.45,111.25,0.357,-999.25,0.302,1.66,0.568,-999.25,101.87,
2675.5,9.69,0.228,121.15,110.11,0.379,-999.25,0.313,1.7,0.566,-999.25,101.87,
2676,9.82,0.251,120.42,118.05,0.436,-999.25,0.356,1.71,0.565,-999.25,101.87,
2676.5,9.63,0.279,119.56,96.88,0.422,-999.25,0.358,1.67,0.566,-999.25,101.84,
2677,9.39,0.312,119.3,88.19,0.39,-999.25,0.353,1.72,0.55,-999.25,101.29,
2677.5,9.99,0.326,119.94,101.04,0.373,-999.25,0.35,1.51,0.529,-999.25,101.56,
2678,10.35,0.327,121.07,97.64,0.424,-999.25,0.379,1.66,0.53,-999.25,101.87,
2678.5,9.35,0.308,120.03,101.42,0.417,-999.25,0.367,1.86,0.527,-999.25,101.6,
2679,9.12,0.271,118.54,99.15,0.398,-999.25,0.34,1.63,0.529,-999.25,101.72,
2679.5,8.99,0.251,116.52,91.59,0.385,-999.25,0.325,1.79,0.528,-999.25,101.25,
2680,9.36,0.248,116,98.02,0.376,-999.25,0.318,1.86,0.515,-999.25,101.25,
2680.5,10.29,0.263,117.92,99.53,0.412,-999.25,0.346,1.77,0.508,-999.25,101.84,
2681,10.12,0.261,117.83,81.76,0.393,-999.25,0.334,1.74,0.497,-999.25,101.56,
2681.5,10.37,0.285,118.36,97.45,0.333,-999.25,0.31,1.64,0.492,-999.25,101.25,
2682,10,0.293,118.14,100.66,0.357,-999.25,0.327,1.4,0.472,-999.25,101.25,
2682.5,10.82,0.306,115.37,94.24,0.393,-999.25,0.352,1.65,0.472,-999.25,101.25,
2683,10.76,0.319,121.52,100.22,0.352,-999.25,0.336,2.04,0.512,-999.25,101.25,
2683.5,10.4,0.331,123.12,86.3,0.381,-999.25,0.357,1.9,0.496,-999.25,101.25,
2684,10.02,0.328,117.94,87.43,0.371,-999.25,0.35,1.69,0.503,-999.25,101.25,
2684.5,7.78,0.288,116.49,85.8,0.374,-999.25,0.334,1.69,0.517,-999.25,101.07,
2685,8.29,0.268,113.82,85.17,0.426,-999.25,0.356,1.59,0.518,-999.25,101.02,
2685.5,9.72,0.27,112.33,93.86,0.439,-999.25,0.364,1.82,0.511,-999.25,101.06,
2686,9.14,0.293,119.28,98.52,0.464,-999.25,0.388,1.63,0.501,-999.25,100.9,
2686.5,9.12,0.289,119.57,105.2,0.42,-999.25,0.361,1.69,0.503,-999.25,100.9,
2687,10.15,0.278,118.83,90.08,0.452,-999.25,0.375,1.36,0.486,-999.25,100.96,
2687.5,10.45,0.269,119.28,86.68,0.411,-999.25,0.347,1.36,0.488,-999.25,101.06,
2688,10.7,0.317,120.24,99.53,0.478,-999.25,0.406,1.59,0.507,-999.25,101.29,
2688.5,10.52,0.367,114.71,88.69,0.429,-999.25,0.399,1.98,0.521,-999.25,101.25,
2689,8.1,0.38,114.86,82.52,0.475,-999.25,0.43,2.38,0.549,-999.25,101.25,
2689.5,8.62,0.341,117.03,78.36,0.484,-999.25,0.419,1.82,0.514,-999.25,101.21,
2690,9.43,0.307,116.74,93.1,0.399,-999.25,0.356,1.68,0.486,-999.25,100.98,
2690.5,10.13,0.293,117.19,89.51,0.423,-999.25,0.364,1.46,0.49,-999.25,100.9,
2691,10.77,0.272,117.95,98.02,0.424,-999.25,0.356,1.78,0.51,-999.25,100.99,
2691.5,10.87,0.253,116.37,85.54,0.398,-999.25,0.333,1.63,0.524,-999.25,101.25,
2692,10.19,0.249,117.8,86.3,0.417,-999.25,0.343,1.61,0.519,-999.25,101.17,
2692.5,10.48,0.257,117.59,88.57,0.457,-999.25,0.371,1.63,0.522,-999.25,101.06,
2693,10.49,0.254,117.68,88.51,0.428,-999.25,0.352,1.69,0.529,-999.25,101.25,
2693.5,9.85,0.245,116.95,99.53,0.386,-999.25,0.323,1.6,0.526,-999.25,101.25,
2694,9.86,0.235,117.38,100.66,0.388,-999.25,0.321,1.63,0.525,-999.25,101.25,
2694.5,9.89,0.238,118.09,94.24,0.42,-999.25,0.341,1.62,0.522,-999.25,101.25,
2695,10.31,0.231,117.11,89.83,0.453,-999.25,0.36,1.61,0.521,-999.25,101.21,
2695.5,9.88,0.232,117.71,81.01,0.406,-999.25,0.331,1.59,0.519,-999.25,101.17,
2696,10.41,0.237,118.08,92.73,0.646,-999.25,0.487,1.62,0.513,-999.25,101.25,
2696.5,10.41,0.276,117.45,73.83,0.554,-999.25,0.438,1.67,0.507,-999.25,101.25,
2697,10.29,0.317,117.76,91.21,0.503,-999.25,0.42,1.68,0.513,-999.25,101.18,
2697.5,10.19,0.338,117.55,95.37,0.453,-999.25,0.4,1.61,0.51,-999.25,100.63,
2698,10.44,0.3,118.11,87.25,0.447,-999.25,0.381,1.55,0.501,-999.25,101.13,
2698.5,10.54,0.253,115.87,91.21,0.381,-999.25,0.323,1.74,0.502,-999.25,101.02,
2699,10.34,0.219,118.1,95.37,0.412,-999.25,0.33,2,0.507,-999.25,101.17,
2699.5,10.05,0.231,116.42,88.19,0.403,-999.25,0.328,1.67,0.509,-999.25,101.17,
2700,10.38,0.255,117.87,93.17,0.423,-999.25,0.349,1.64,0.514,-999.25,100.7,
2700.5,10.09,0.269,117.62,96.88,0.466,-999.25,0.38,1.57,0.5,-999.25,100.82,
2701,10.43,0.273,114.52,86.3,0.408,-999.25,0.347,1.63,0.497,-999.25,101.03,
2701.5,10.61,0.284,116.42,100.29,0.464,-999.25,0.385,1.72,0.489,-999.25,101.25,
2702,10.78,0.309,117.64,85.92,0.427,-999.25,0.373,1.63,0.472,-999.25,101.17,
2702.5,10.42,0.325,118.27,93.86,0.404,-999.25,0.367,1.69,0.49,-999.25,101.25,
2703,10.53,0.332,120.2,81.01,0.417,-999.25,0.377,1.8,0.494,-999.25,101.25,
2703.5,10.33,0.333,117.91,89.83,0.476,-999.25,0.411,2,0.485,-999.25,101.25,
2704,9.96,0.325,118.61,98.02,0.39,-999.25,0.359,2.17,0.495,-999.25,101.25,
2704.5,9.26,0.319,118.8,100.66,0.349,-999.25,0.334,1.9,0.485,-999.25,101.02,
2705,9.72,0.312,115.82,94.99,0.357,-999.25,0.335,1.78,0.465,-999.25,100.82,
2705.5,10.25,0.359,116.24,95.37,0.368,-999.25,0.364,1.93,0.468,-999.25,101.13,
2706,11.53,0.422,118.61,86.68,0.412,-999.25,0.417,2.33,0.488,-999.25,101.25,
2706.5,9.94,0.46,116.66,87.81,0.45,-999.25,0.455,1.78,0.455,-999.25,101.25,
2707,10.44,0.481,117.45,90.46,0.485,-999.25,0.483,1.45,0.449,-999.25,101.25,
2707.5,10.82,0.452,116.93,80.25,0.502,-999.25,0.478,2.05,0.499,-999.25,101.21,
2708,10.47,0.44,113.03,81.7,0.552,-999.25,0.499,1.91,0.535,-999.25,100.94,
2708.5,7.97,0.386,113.76,85.54,0.421,-999.25,0.404,2.16,0.518,-999.25,101.02,
2709,9.18,0.35,113.84,93.48,0.424,-999.25,0.389,1.82,0.502,-999.25,101.06,
2709.5,9.89,0.319,119.58,99.53,0.419,-999.25,0.372,1.89,0.505,-999.25,101.25,
2710,10.04,0.285,120.76,93.1,0.41,-999.25,0.353,1.88,0.511,-999.25,100.82,
2710.5,9.88,0.259,123.42,98.77,0.404,-999.25,0.339,1.69,0.515,-999.25,101.02,
2711,10.41,0.246,119.87,84.03,0.378,-999.25,0.319,1.73,0.516,-999.25,100.9,
2711.5,10.49,0.285,118.21,99.15,0.358,-999.25,0.324,1.76,0.526,-999.25,101.18,
2712,10.28,0.316,119.72,93.1,0.382,-999.25,0.351,1.64,0.516,-999.25,101.17,
2712.5,8.99,0.334,119.83,85.23,0.426,-999.25,0.383,1.52,0.508,-999.25,100.74,
2713,10.04,0.332,119.92,93.48,0.466,-999.25,0.405,1.62,0.516,-999.25,100.63,
2713.5,10.07,0.357,119.49,105.58,0.458,-999.25,0.411,1.78,0.536,-999.25,100.63,
2714,9.89,0.401,120.49,92.16,0.427,-999.25,0.414,1.87,0.556,-999.25,100.63,
2714.5,8.84,0.426,117.82,84.98,0.47,-999.25,0.449,1.79,0.545,-999.25,100.86,
2715,9.44,0.418,116.14,84.5,0.487,-999.25,0.454,1.83,0.537,-999.25,101.02,
2715.5,9.85,0.384,117.7,90.08,0.382,-999.25,0.383,1.79,0.547,-999.25,100.63,
2716,8.99,0.355,116.65,97.64,0.389,-999.25,0.372,1.94,0.545,-999.25,100.94,
2716.5,9.9,0.316,118.61,96.13,0.415,-999.25,0.369,1.96,0.555,-999.25,100.74,
2717,10.29,0.285,118.19,102.18,0.441,-999.25,0.371,1.96,0.559,-999.25,101.09,
2717.5,9.47,0.26,117.81,91.97,0.413,-999.25,0.345,2.07,0.564,-999.25,100.7,
2718,9.93,0.253,117.65,106.34,0.429,-999.25,0.352,2.02,0.566,-999.25,100.4,
2718.5,10.06,0.276,120.78,100.66,0.445,-999.25,0.37,2.01,0.565,-999.25,98.24,
2719,10.24,0.291,121.69,107.28,0.409,-999.25,0.355,1.97,0.568,-999.25,97.97,
2719.5,10.04,0.312,119.71,85.92,0.435,-999.25,0.379,2,0.576,-999.25,98.13,
2720,9.69,0.318,113.56,93.58,0.352,-999.25,0.335,2.04,0.587,-999.25,97.81,
2720.5,9.46,0.325,113.49,102.18,0.359,-999.25,0.342,1.87,0.588,-999.25,97.85,
2721,9.65,0.304,112.97,100.66,0.401,-999.25,0.356,1.76,0.579,-999.25,97.97,
2721.5,10.23,0.269,119.56,106.33,0.372,-999.25,0.325,1.78,0.579,-999.25,97.89,
2722,10.42,0.258,118.58,108.22,0.4,-999.25,0.337,1.79,0.582,-999.25,97.83,
2722.5,9.8,0.274,118.7,100.66,0.444,-999.25,0.369,1.86,0.58,-999.25,98.13,
2723,9.46,0.297,119.55,92.73,0.463,-999.25,0.389,1.75,0.571,-999.25,98.13,
2723.5,9.76,0.306,120.53,99.44,0.445,-999.25,0.382,1.63,0.562,-999.25,98.13,
2724,10.09,0.307,120.56,102.93,0.407,-999.25,0.36,1.63,0.568,-999.25,97.97,
2724.5,9.2,0.294,119.92,102.93,0.447,-999.25,0.378,1.63,0.566,-999.25,98.13,
2725,10.05,0.289,121.73,115.03,0.406,-999.25,0.352,1.75,0.564,-999.25,98.13,
2725.5,10.07,0.303,120.28,105.58,0.433,-999.25,0.374,1.75,0.564,-999.25,98.13,
2726,9.8,0.317,120.17,119.19,0.424,-999.25,0.374,1.74,0.567,-999.25,98.13,
2726.5,9.05,0.311,121.57,127.88,0.427,-999.25,0.374,1.75,0.567,-999.25,98.13,
2727,9.55,0.308,119.24,98.05,0.417,-999.25,0.367,1.91,0.551,-999.25,98.13,
2727.5,10.12,0.316,118.46,105.67,0.404,-999.25,0.363,1.92,0.547,-999.25,98.13,
2728,10.74,0.329,120.3,106.9,0.447,-999.25,0.392,1.87,0.533,-999.25,98.09,
2728.5,11,0.336,120.52,110.11,0.461,-999.25,0.403,2.02,0.536,-999.25,97.97,
2729,10.9,0.336,116.07,105.58,0.454,-999.25,0.399,2.55,0.564,-999.25,97.93,
2729.5,9.19,0.329,115.93,110.87,0.451,-999.25,0.395,3.69,0.596,-999.25,98.13,
2730,9.43,0.319,118.08,116.54,0.399,-999.25,0.361,2.73,0.589,-999.25,97.89,
2730.5,10.83,0.304,118.54,105.58,0.408,-999.25,0.36,1.71,0.55,-999.25,97.65,
2731,11.35,0.314,121.18,100.66,0.426,-999.25,0.374,1.97,0.549,-999.25,98.05,
2731.5,10.74,0.313,121.02,114.27,0.414,-999.25,0.367,1.75,0.564,-999.25,98.09,
2732,10.2,0.321,119.38,107.47,0.445,-999.25,0.388,1.56,0.56,-999.25,98.13,
2732.5,10.34,0.319,119.85,127.5,0.446,-999.25,0.388,1.46,0.566,-999.25,98.13,
