DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
6090.5,0.388,64.92,106.18,0.066,2.36,0.0,23.23,2.086,0.1137,0.0001,0.001,0.0574,0.142,1.5738,36.0432,0.0116,0.0,0.0,0.0,14.7101,1e-05
6091.0,0.328,64.76,104.34,0.073,2.47,0.0,25.17,2.162,0.283,0.0005,0.0254,1.1211,2.4437,5.0551,14.6586,0.0226,0.0,0.0,0.0001,0.2171,1e-05
6091.5,0.259,64.6,104.97,0.079,2.73,0.0,26.48,2.258,0.5204,0.005,0.2815,11.9993,19.8503,4.4907,2.1785,0.021,0.0,0.0004,0.001,0.0106,1e-05
6092.0,0.187,63.78,111.25,0.082,3.06,0.144,27.85,2.374,4.2037,0.6556,0.9701,2.6695,4.9138,3.2503,0.2005,0.1625,0.0089,0.3908,0.0049,0.0019,0.00018475561228115112
6092.5,0.128,62.81,116.71,0.07,3.18,0.103,31.68,2.493,0.3234,0.1657,0.1109,0.3908,0.3421,0.1515,0.0343,0.0129,0.0014,0.0179,0.0005,0.0005,0.027696087956428528
6093.0,0.102,61.84,116.51,0.045,3.03,0.079,40.65,2.546,0.0766,0.0302,0.0331,0.0484,0.0325,0.0184,0.0206,0.005,0.0005,0.0026,0.0001,0.0001,0.12187373638153076
6093.5,0.109,60.87,107.72,0.02,2.89,0.078,53.53,2.535,0.0683,0.0098,0.0164,0.0116,0.0075,0.004,0.0179,0.0033,0.0001,0.0011,0.0,0.0,0.1833302080631256
6094.0,0.128,60.14,101.64,0.01,2.81,0.0,71.84,2.511,0.0243,0.0004,0.0131,0.023,0.0121,0.001,0.0352,0.0038,0.0001,0.0001,0.0,0.0003,1e-05
6094.5,0.144,60.33,102.52,0.008,2.79,0.0,78.34,2.483,0.0279,0.0003,0.0117,0.0307,0.0167,0.0011,0.0547,0.0037,0.0,0.0001,0.0,0.0003,1e-05
6095.0,0.151,60.92,105.06,0.014,2.82,0.107,70.05,2.469,0.1913,0.0102,0.0153,0.0094,0.0093,0.0071,0.0254,0.0035,0.0,0.0031,0.0,0.0,0.024314211681485176
6095.5,0.152,61.51,109.83,0.021,2.82,0.109,58.46,2.466,0.2201,0.0151,0.0224,0.0182,0.0181,0.0129,0.0345,0.0042,0.0,0.0046,0.0,0.0,0.028253750875592232
