iter	Passed	Remaining
344	1073	2038
345	1076	2034
346	1078	2030
347	1081	2025
348	1083	2021
349	1086	2017
350	1089	2013
351	1091	2009
352	1094	2005
353	1096	2001
354	1099	1997
355	1102	1993
356	1104	1990
357	1107	1986
358	1110	1982
359	1112	1978
360	1115	1974
361	1118	1971
362	1120	1967
363	1123	1963
364	1126	1959
365	1128	1955
366	1131	1951
367	1134	1948
368	1137	1945
369	1140	1941
370	1143	1938
371	1145	1934
372	1148	1931
373	1151	1927
374	1154	1924
375	1157	1920
376	1160	1916
377	1162	1913
378	1165	1909
379	1168	1906
380	1170	1902
381	1173	1898
382	1176	1895
383	1179	1891
384	1182	1888
385	1185	1884
386	1187	1881
387	1190	1877
388	1193	1873
389	1195	1870
390	1198	1866
391	1201	1863
392	1203	1859
393	1206	1855
394	1209	1852
395	1211	1848
396	1214	1844
397	1217	1840
398	1219	1837
399	1222	1833
400	1225	1830
401	1228	1826
402	1230	1823
403	1233	1820
404	1236	1816
405	1239	1813
406	1242	1809
407	1245	1806
408	1247	1803
409	1250	1799
410	1253	1795
411	1255	1792
412	1258	1788
413	1261	1785
414	1263	1781
415	1266	1777
416	1269	1774
417	1271	1770
418	1274	1767
419	1277	1763
420	1279	1760
421	1282	1756
422	1285	1752
423	1287	1749
424	1290	1745
425	1292	1742
426	1295	1738
427	1298	1734
428	1300	1731
429	1303	1728
430	1306	1724
431	1308	1720
432	1311	1717
433	1314	1713
434	1316	1710
435	1319	1706
436	1322	1703
437	1324	1699
