iter	Passed	Remaining
776	3855	1106
777	3860	1101
778	3864	1096
779	3869	1091
780	3873	1086
781	3878	1081
782	3882	1075
783	3886	1070
784	3891	1065
785	3895	1060
786	3900	1055
787	3904	1050
788	3909	1045
789	3913	1040
790	3918	1035
791	3922	1030
792	3926	1025
793	3931	1019
794	3935	1014
795	3939	1009
796	3944	1004
797	3948	999
798	3953	994
799	3957	989
800	3962	984
801	3966	979
802	3971	974
803	3975	969
804	3979	964
805	3983	958
806	3987	953
807	3992	948
808	3996	943
809	4000	938
810	4004	933
811	4008	928
812	4012	922
813	4016	917
814	4021	912
815	4025	907
816	4029	902
817	4034	897
818	4038	892
819	4042	887
820	4047	882
821	4051	877
822	4055	872
823	4060	867
824	4064	862
825	4069	857
826	4074	852
827	4078	847
828	4082	842
829	4086	837
830	4091	832
831	4095	826
832	4099	821
833	4103	816
834	4108	811
835	4112	806
836	4116	801
837	4121	796
838	4125	791
839	4129	786
840	4134	781
841	4138	776
842	4142	771
843	4147	766
844	4151	761
845	4155	756
846	4160	751
847	4165	746
848	4169	741
849	4173	736
850	4177	731
851	4181	726
852	4185	721
853	4189	716
854	4194	711
855	4198	706
856	4202	701
857	4206	696
858	4210	691
859	4214	686
860	4218	681
861	4222	676
862	4227	671
863	4231	666
864	4236	661
865	4240	656
866	4244	651
867	4248	646
868	4253	641
869	4257	636
870	4261	631
871	4265	626
872	4269	621
873	4273	616
874	4277	611
875	4281	606
876	4286	601
877	4290	596
878	4294	591
879	4299	586
880	4304	581
881	4308	576
882	4313	571
883	4318	566
884	4322	561
885	4326	556
886	4331	551
887	4336	546
888	4340	541
889	4344	536
890	4348	532
891	4353	527
892	4357	522
893	4362	517
894	4366	512
895	4371	507
896	4375	502
897	4379	497
898	4384	492
899	4388	487
900	4392	482
901	4397	477
902	4401	472
903	4405	467
904	4410	462
905	4414	458
906	4418	453
907	4422	448
908	4427	443
909	4431	438
910	4435	433
911	4439	428
912	4443	423
913	4448	418
914	4452	413
915	4456	408
916	4460	403
917	4464	398
918	4469	393
919	4473	388
920	4477	384
921	4481	379
922	4485	374
923	4489	369
924	4493	364
925	4498	359
926	4502	354
927	4506	349
928	4510	344
929	4515	339
930	4519	334
931	4523	330
932	4527	325
933	4531	320
934	4536	315
935	4540	310
936	4544	305
937	4548	300
938	4552	295
939	4557	290
940	4561	286
941	4566	281
942	4570	276
943	4574	271
944	4579	266
945	4583	261
946	4588	256
947	4592	251
948	4597	247
949	4601	242
950	4605	237
951	4610	232
952	4614	227
953	4619	222
954	4623	217
955	4627	212
956	4632	208
957	4636	203
958	4640	198
959	4645	193
960	4649	188
961	4653	183
962	4658	178
963	4662	174
964	4666	169
965	4671	164
966	4675	159
967	4679	154
968	4684	149
969	4688	145
970	4692	140
971	4697	135
972	4701	130
973	4705	125
974	4709	120
975	4714	115
976	4718	111
977	4723	106
978	4727	101
979	4731	96
980	4736	91
981	4740	86
982	4744	82
983	4748	77
984	4753	72
985	4757	67
986	4761	62
987	4766	57
988	4770	53
989	4775	48
990	4779	43
991	4784	38
992	4788	33
993	4792	28
994	4797	24
995	4801	19
996	4805	14
997	4810	9
998	4814	4
999	4819	0
