DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RHOB_D,RESD_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
7823.5,0.013,58.02,-999.25,0.059,3.07,0.042,2.629,24.07,-999.25,0.1478,0.1567,0.0316,0.0577,0.0242,-999.25,0.0745,0.0571,0.0064,0.0127,0.0001,
7824.0,-0.004,57.9,-999.25,0.074,3.35,0.0,2.656,17.71,-999.25,0.1468,0.4022,0.0584,0.1482,0.0571,-999.25,0.056,0.0738,0.0132,0.0265,0.0001,
7824.5,-0.03,56.25,-999.25,0.088,3.75,0.0,2.7,18.88,-999.25,0.2098,0.4245,0.0469,0.1442,0.0979,-999.25,0.0239,0.0337,0.0206,0.0409,0.0002,
7825.0,-0.064,53.33,-999.25,0.095,3.98,0.0,2.756,34.22,-999.25,0.1549,0.2881,0.0234,0.0912,0.1221,-999.25,0.0151,0.0252,0.0199,0.0446,0.0002,
7825.5,-0.089,50.76,-999.25,0.092,4.05,0.0,2.797,59.98,-999.25,0.0927,0.132,0.0116,0.0471,0.1114,-999.25,0.0107,0.0219,0.0107,0.0326,0.0001,
7826.0,-0.101,49.94,-999.25,0.085,3.99,0.0,2.816,53.14,-999.25,0.0621,0.0649,0.0064,0.0304,0.0853,-999.25,0.0126,0.0247,0.008,0.0208,0.0001,
7826.5,-0.102,51.26,-999.25,0.078,3.85,0.0,2.818,34.98,-999.25,0.0641,0.0487,0.0062,0.0331,0.0669,-999.25,0.0202,0.0419,0.0086,0.0156,0.0001,
7827.0,-0.093,54.08,-999.25,0.077,3.75,0.0,2.803,31.07,-999.25,0.083,0.0831,0.0123,0.0575,0.0634,-999.25,0.0263,0.0606,0.0111,0.0177,0.0001,
7827.5,-0.086,57.2,-999.25,0.081,3.67,0.0,2.792,31.47,-999.25,0.0968,0.1578,0.0265,0.1096,0.0761,-999.25,0.0386,0.0904,0.0171,0.0241,0.0001,
7828.0,-0.08,59.78,-999.25,0.089,3.64,0.0,2.783,29.07,-999.25,0.1211,0.2781,0.0456,0.1791,0.0999,-999.25,0.0512,0.1135,0.0264,0.0323,0.0001,
7828.5,-0.074,60.86,-999.25,0.096,3.64,0.0,2.773,25.89,-999.25,0.1571,0.3928,0.0592,0.2258,0.1258,-999.25,0.0602,0.1227,0.0373,0.043,0.0002,
7829.0,-0.068,60.08,-999.25,0.098,3.54,0.0,2.762,25.71,-999.25,0.1454,0.3374,0.0586,0.2181,0.1353,-999.25,0.0913,0.1915,0.0419,0.0531,0.0002,
7829.5,-0.058,57.56,-999.25,0.091,3.35,0.0,2.745,26.14,-999.25,0.1034,0.1876,0.0426,0.1519,0.1107,-999.25,0.1497,0.3376,0.0294,0.0475,0.0001,
7830.0,-0.049,54.89,-999.25,0.082,3.25,0.0,2.73,26.33,-999.25,0.081,0.1115,0.0251,0.0908,0.0784,-999.25,0.1612,0.3149,0.0152,0.0298,0.0001,
7830.5,-0.037,54.57,-999.25,0.077,3.3,0.0,2.711,40.86,-999.25,0.0753,0.1372,0.0259,0.0795,0.0626,-999.25,0.089,0.1521,0.0098,0.0217,0.0001,
7831.0,-0.031,57.53,-999.25,0.081,3.39,0.0,2.701,37.95,-999.25,0.1156,0.2782,0.0464,0.1309,0.0735,-999.25,0.0696,0.1266,0.0182,0.0329,0.0001,
7831.5,-0.029,63.16,-999.25,0.099,3.35,0.0,2.699,22.01,-999.25,0.1893,0.6167,0.105,0.293,0.1421,-999.25,0.1408,0.2327,0.0541,0.0698,0.0003,
7832.0,-0.029,68.29,-999.25,0.126,3.25,0.0,2.698,15.43,-999.25,0.2862,1.2499,0.1725,0.4916,0.2934,-999.25,0.3044,0.4878,0.1365,0.1255,0.0009,
7832.5,-0.037,70.53,-999.25,0.152,3.27,0.0,2.712,13.49,-999.25,0.3561,1.6086,0.1805,0.542,0.4386,-999.25,0.3841,0.6162,0.2514,0.1523,0.0023,
7833.0,-0.043,70.33,-999.25,0.168,3.39,0.0,2.722,14.03,-999.25,0.4247,1.6506,0.1646,0.5116,0.4974,-999.25,0.3811,0.5569,0.3674,0.1801,0.0038,
7833.5,-0.051,69.14,-999.25,0.166,3.46,0.0,2.733,14.48,-999.25,0.4537,1.638,0.1553,0.5188,0.4911,-999.25,0.3637,0.5404,0.4036,0.1975,0.0033,
7834.0,-0.05,68.41,-999.25,0.154,3.44,0.0,2.732,14.51,-999.25,0.4069,1.4586,0.158,0.5204,0.4401,-999.25,0.3157,0.4869,0.2984,0.1706,0.0023,
7834.5,-0.044,68.2,-999.25,0.142,3.38,0.0,2.723,15.35,-999.25,0.3435,1.3142,0.1628,0.514,0.3812,-999.25,0.29,0.4613,0.2083,0.1443,0.0015,
7835.0,-0.042,68.03,-999.25,0.135,3.34,0.0,2.72,15.17,-999.25,0.3096,1.2117,0.1619,0.5017,0.3379,-999.25,0.277,0.4596,0.1672,0.1268,0.0012,
7835.5,-0.045,67.8,-999.25,0.131,3.34,0.0,2.724,14.11,-999.25,0.3211,1.1766,0.1605,0.5037,0.3159,-999.25,0.2645,0.4694,0.1572,0.1207,0.001,
7836.0,-0.049,67.67,-999.25,0.129,3.36,0.0,2.731,13.52,-999.25,0.3243,1.1143,0.1557,0.4954,0.2983,-999.25,0.2328,0.435,0.1441,0.1071,0.0009,
7836.5,-0.054,67.75,-999.25,0.127,3.42,0.0,2.74,13.39,-999.25,0.3388,1.1156,0.1502,0.4927,0.2872,-999.25,0.1849,0.353,0.1338,0.093,0.0008,
7837.0,-0.058,67.98,-999.25,0.129,3.48,0.0,2.745,13.18,-999.25,0.4068,1.2884,0.1523,0.5229,0.298,-999.25,0.167,0.3206,0.1513,0.0986,0.0008,
7837.5,-0.056,68.02,-999.25,0.133,3.52,0.0,2.742,14.26,-999.25,0.4106,1.3708,0.1511,0.5209,0.321,-999.25,0.1649,0.288,0.1638,0.1075,0.001,
7838.0,-0.06,67.58,-999.25,0.137,3.45,0.0,2.748,15.76,-999.25,0.3324,1.2407,0.1432,0.5182,0.3411,-999.25,0.228,0.4186,0.183,0.1168,0.0011,
7838.5,-0.059,66.47,-999.25,0.136,3.27,0.0,2.747,16.02,-999.25,0.2239,0.8497,0.1362,0.4797,0.3357,-999.25,0.4153,0.8616,0.1776,0.122,0.0011,
7839.0,-0.066,63.96,-999.25,0.127,3.11,0.0,2.759,18.16,-999.25,0.1245,0.416,0.1083,0.3966,0.2813,-999.25,0.7426,1.9592,0.1292,0.1051,0.0007,
