DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_PRE
4408.0,0.159,84.03,116.16,0.262,2.53,0.217,5.98,2.387,0.657,83.6034,42.7606,162.2107,55.151,29.18,3.2998,47.2855,31.5421,26.3885,12.0494,0.0003,0.14285828173160553
4408.5,0.125,81.52,129.13,0.27,2.63,0.21,8.01,2.444,0.192,34.3943,16.7176,46.4907,9.955,5.8201,2.2361,19.7191,10.2206,14.1129,3.2304,0.0,0.2344466596841812
4409.0,0.131,85.38,118.18,0.267,2.55,0.21,4.83,2.434,0.1021,25.1926,20.134,25.6889,9.7708,7.6861,1.6074,10.4586,9.8119,4.3795,2.2957,0.0,0.20450155436992645
4409.5,0.159,91.13,102.07,0.263,2.41,0.218,2.53,2.387,0.092,30.2748,36.6222,28.3877,26.8504,29.0054,1.9097,14.8616,21.9971,3.051,3.9498,0.0002,0.09071849286556244
4410.0,0.193,93.6,86.34,0.253,2.28,0.225,1.85,2.331,0.0012,67.8525,83.5492,67.01,120.0335,151.8504,4.6708,71.7861,86.1217,6.3136,14.5518,0.0146,0.1410394310951233
4410.5,0.226,95.65,75.45,0.248,2.29,0.237,1.47,2.277,0.0007,144.6192,139.9755,164.2512,459.535,646.6862,11.3277,165.8013,154.1768,16.8804,56.5237,0.4217,3.2182576656341553
4411.0,0.244,94.99,76.86,0.247,2.37,0.245,1.64,2.248,0.0019,299.311,247.4777,440.0472,968.4197,1248.3812,15.2302,184.2454,147.4511,46.087,146.5927,2.1652,1.6773773431777954
4411.5,0.233,93.87,87.19,0.254,2.45,0.244,1.98,2.265,0.0044,241.8049,187.2794,477.6109,763.5997,853.9165,8.0082,95.237,89.6918,42.3402,103.2108,0.2689,0.03977787494659424
4412.0,0.207,84.37,101.0,0.245,2.53,0.227,5.6,2.308,0.0236,306.3744,146.3738,1044.2686,522.1778,291.8563,6.9418,188.4025,96.9181,189.5999,143.2246,0.0889,0.016098491847515106
4412.5,0.167,77.21,114.85,0.242,2.66,0.208,13.6,2.374,2.2945,208.4638,62.3077,544.31,166.5941,45.8115,10.1764,174.9994,47.3046,262.3725,53.8127,0.0083,0.14411963522434235
