DEPT,DPHI_D,DTC_D,GR_NORM,NPHI_D,PEF_D,POR_D,RESD_D,RHOB_D,LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD1],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD2],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD3],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD4],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD5],LOGK_SDR_PRE_BRINE[DENGEOMOD_K_SDR_PRE_BRINE_DVD6],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD1_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD2_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD3_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD4_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD5_2],LOGK_SDR_PRE_BRINE2[DENGEOMOD_K_SDR_PRE_BRINE_DVD6_2],K_SDR_0919,K_SDR,K_SDR_PRE
6092.0,0.008,50.1,-999.25,0.043,4.93,0.0,127.32,2.697,-999.25,0.0021,0.004,0.004,0.0033,0.0083,-999.25,0.0,0.0,0.0,0.0,0.0002,,0.00040103,
6092.5,0.011,51.04,-999.25,0.045,4.92,0.033,112.29,2.691,-999.25,0.0031,0.0033,0.0035,0.0026,0.0083,-999.25,0.0,0.0,0.0001,0.0,0.0002,,0.000700599,
6093.0,0.009,51.38,-999.25,0.049,4.92,0.0,106.89,2.694,-999.25,0.0034,0.0064,0.007,0.0061,0.0116,-999.25,0.0,0.0,0.0001,0.0001,0.0002,,0.001040928,
6093.5,0.005,51.62,-999.25,0.046,4.92,0.0,104.22,2.702,-999.25,0.0029,0.0052,0.0055,0.0048,0.0099,-999.25,0.0,0.0,0.0001,0.0001,0.0002,,0.000816614,
6094.0,0.001,51.46,-999.25,0.042,4.93,0.0,96.9,2.708,-999.25,0.0022,0.0041,0.0039,0.0036,0.008,-999.25,0.0,0.0,0.0001,0.0001,0.0002,,0.000798891,
6094.5,-0.002,50.55,-999.25,0.07,4.94,0.0,84.05,2.713,-999.25,0.006,0.0146,0.0125,0.013,0.0321,-999.25,0.0001,0.0001,0.0001,0.0003,0.0005,,1e-05,
6095.0,0.004,49.87,-999.25,0.064,4.97,0.0,72.13,2.704,-999.25,0.0034,0.0103,0.0088,0.0096,0.0244,-999.25,0.0,0.0,0.0001,0.0002,0.0004,,0.004700982,
6095.5,0.01,50.67,-999.25,0.06,5.03,0.0,65.9,2.693,-999.25,0.0028,0.009,0.0093,0.0101,0.0202,-999.25,0.0,0.0,0.0001,0.0002,0.0004,,0.000887039,
6096.0,0.022,51.64,-999.25,0.066,5.05,0.049,66.45,2.672,-999.25,0.0054,0.0083,0.0108,0.0085,0.0222,-999.25,0.0001,0.0001,0.0002,0.0001,0.0006,,0.005165818,
6096.5,0.044,54.31,-999.25,0.101,5.01,0.078,73.18,2.636,-999.25,0.0534,0.0638,0.1038,0.0629,0.078,-999.25,0.0008,0.001,0.002,0.001,0.0027,,0.029011136,
